Row;Number of Positives;Number of Negatives;Number of True Positives;Number of False Positives;Number of False Negatives;Number of True Negatives;Pair counting cardinality P_1,1;Pair counting cardinality P_1,0;Pair counting cardinality P_0,1;Pair counting cardinality P_0,0;Precision;Negative Predictive Value;Recall;Specificity;Accuracy;Balanced Accuracy;Matthews Correlation Coefficient;Intersection over Union;Balanced Intersection over Union*;Segmentation Covering;Dice coefficient;F2-score;Cohen kappa;Global Consistency Error;Bidirectional Consistency Error;Mutual Information;Variation of Information;Pearson Correlation Coefficient;Normalized Variation of Information;Rand Index;Adjusted Rand Index;Average Hausdorff Distance;Surface Consistency Measure (a=0.5,k=3);Surface Consistency Measure (a=1,k=3);Surface Consistency Measure (a=2,k=3);Surface Consistency Measure (a=0.5,k=5);Surface Consistency Measure (a=1,k=5);Surface Consistency Measure (a=2,k=5);Surface Consistency Measure (a=0.5,k=7);Surface Consistency Measure (a=1,k=7);Surface Consistency Measure (a=2,k=7);Error Rate;Maximum Error Distance;Minimum Error Distance;Average Error Distance;Median Error Distance
Erosion 0.01;90872131;43345597;90872131;0;1342177;42003420;5.01191639452958e+15;121966484169188;56376024245341;3.81694028468802e+15;1;0.96903544782184;0.985445024431567;1;0.990000002086163;0.992722512215783;0.977205792325162;0.985445024431567;0.98030964962951;0.98030964962951;0.992669162132756;0.988322025017141;0.976946073419084;0.0197088963770343;0.0293992488336872;0.584480352670584;0.0891853335786352;0.929113687267015;0.13238811980345;0.980200003941357;0.959692693822699;0.009999998;0.2689415;0.1192016;0.01798767;0.1192016;0.01798767;0.0003534555;0.04742646;0.002470732;4.768372e-07;0.00999999791383743;1;1;1;1
Erosion 0.02;89529953;44687775;89529953;0;2684355;42003420;4.89355270171345e+15;240330176985316;112752090494101;3.76056421843926e+15;1;0.939930887138597;0.970890038018829;1;0.979999996721745;0.985445019009414;0.955285054184908;0.970890038018829;0.961201375897639;0.961201375897639;0.985230042559638;0.976575654051062;0.954286386109142;0.0388356078864043;0.0576342287105098;0.553440910689767;0.158439238471755;0.874797434954607;0.222564484567199;0.960799993413686;0.920355805300563;0.02;0.2689412;0.119202;0.01798689;0.119202;0.01798689;0.0003550053;0.04742569;0.0024755;1.192093e-07;0.0200000032782555;1;1;1;1
Erosion 0.03;88187776;46029952;88187776;0;4026532;42003420;4.77879197662594e+15;355090902072832;169128114739440;3.70418819419392e+15;1;0.912523654163272;0.956335062450395;1;0.969999998807907;0.978167531225198;0.934172556753674;0.956335062450395;0.942624288095196;0.942624288095196;0.977680235667344;0.964760302118867;0.932010944039246;0.0573801060271042;0.0847558167398153;0.52733358224004;0.217378600902271;0.829160524601354;0.2918961255408;0.941799997325242;0.88197030890672;0.03;0.2689432;0.1192015;0.01798588;0.1192015;0.01798588;0.0003355742;0.04742306;0.002469659;1.013279e-06;0.0300000011920929;1;1;1;1
Erosion 0.04;86845599;47372129;86845599;0;5368709;42003420;4.66763412973708e+15;466248748961692;225504138984781;3.64781216994858e+15;1;0.886669459166591;0.941780086881962;1;0.96000000089407;0.970890043440981;0.913809411359663;0.941780086881962;0.92453322332015;0.92453322332015;0.970017246797743;0.952875350910427;0.91011003960394;0.0753424052665229;0.110809182840442;0.504332603919894;0.269661432852905;0.789149572163837;0.348402468289381;0.923200001072883;0.844517882287336;0.04;0.2689414;0.1192043;0.01798594;0.1192043;0.01798594;0.0003341436;0.04742634;0.002472997;3.129244e-05;0.0399999991059303;1;1;1;1
Erosion 0.05;85503422;48714306;85503422;0;6710886;42003420;4.56007916104688e+15;573803717651892;281880163230120;3.59143614570324e+15;1;0.862239934199206;0.927225111313528;1;0.950000002980232;0.963612555656764;0.894142337084442;0.927225111313528;0.906888008839947;0.906888008839947;0.962238511599265;0.940920183638965;0.888574305382674;0.0927225056046605;0.135834499744946;0.483574975825441;0.317019646575481;0.753287261991574;0.395980234821917;0.905000004656613;0.807980996246416;0.05;0.2689415;0.1192026;0.01798642;0.1192026;0.01798642;0.0003558993;0.04742604;0.002471805;3.576279e-07;0.0499999970197678;1;1;1;1
Erosion 0.06;84161244;50056484;84161244;0;8053064;42003420;4.45612699444715e+15;677755884251616;338256229478880;3.53506007945448e+15;1;0.83912046239604;0.912670124900791;1;0.939999997615814;0.956335062450395;0.875122949774375;0.912670124900791;0.889652767871433;0.889652767871433;0.954341381735265;0.928894167221559;0.867394668102637;0.109520419340045;0.159867649084427;0.464555329846759;0.360469365137655;0.720689514691367;0.436919485354877;0.887199994963408;0.77234283249399;0.06111852;0.2709175;0.1217617;0.01944888;0.1203264;0.01846641;0.0003634691;0.04792559;0.00254178;9.536743e-07;0.0600000023841858;2;1;1.01864087581635;1
Erosion 0.07;82819067;51398661;82819067;0;9395241;42003420;4.35577778483862e+15;778105093860147;394632253724220;3.47868405520914e+15;1;0.817208448290122;0.898115149332357;1;0.929999999701977;0.949057574666179;0.856707235624719;0.898115149332357;0.872795408078121;0.872795408078121;0.946323145514391;0.916796688063546;0.846562398790774;0.125736121441848;0.182940713065704;0.446942003037665;0.400678793014378;0.690764398864641;0.472709960492495;0.869799998517334;0.737587364332006;0.07747355;0.2802593;0.1338578;0.02636462;0.1256357;0.02074057;0.0005071163;0.05028391;0.002865791;3.218651e-06;0.0700000002980232;2;1;1.10676515102386;1
Erosion 0.08;81476890;52740838;81476890;0;10737418;42003420;4.25903145342875e+15;874851425270020;451008277969560;3.4223080309638e+15;1;0.796411691448665;0.883560173763924;1;0.920000001788139;0.941780086881962;0.838854965106604;0.883560173763924;0.856287067896341;0.856287067896341;0.938180989459236;0.90462709818822;0.826069006021208;0.14136962464237;0.205082558534168;0.430500985879231;0.438120372813174;0.663086572932779;0.504385908116174;0.852800001907349;0.703699173938771;0.09382764;0.2872632;0.1429287;0.03154957;0.1296183;0.02244645;0.0006123185;0.05205238;0.003106952;3.933907e-05;0.0799999982118607;2;1;1.17284226417542;1
Erosion 0.09;80134712;54083016;80134712;0;12079596;42003420;4.16588793216242e+15;967994946536352;507384344218320;3.36593196471504e+15;1;0.776647145565994;0.869005187351186;1;0.909999996423721;0.934502593675593;0.821529304552394;0.869005187351186;0.840101750545275;0.840101750545275;0.929912012264416;0.892384741762761;0.805906272894606;0.156420939938823;0.226319185817269;0.41505872002065;0.473145201758726;0.637335311717869;0.53269884331388;0.836199992914498;0.670663512880143;0.1101831;0.2927139;0.1499867;0.03558707;0.1327156;0.02377152;0.0006953478;0.05342788;0.003296316;9.23872e-06;0.0900000035762787;2;1;1.22425413131714;1
Erosion 0.1;78792535;55425193;78792535;0;13421773;42003420;4.07634735983421e+15;1.05753551886456e+15;563760368463660;3.3095559404697e+15;1;0.757839850914006;0.854450211782753;1;0.899999998509884;0.927225105891376;0.804696477630468;0.854450211782753;0.824216012289214;0.824216012289214;0.921513240262555;0.880068982589239;0.786066290023827;0.170890044903011;0.246674031123681;0.400481679019133;0.506023884659295;0.613260158079086;0.558213766064431;0.81999999627471;0.63846635228564;0.1265397;0.2970746;0.1556318;0.03881443;0.1351941;0.02483243;0.0007597804;0.05452853;0.003446519;1.192093e-06;0.100000001490116;2;1;1.26539313793182;1
Erosion 0.11;77450358;56767370;77450358;0;14763950;42003420;3.99040966570467e+15;1.1434732129941e+15;620136392709000;3.25317991622436e+15;1;0.739921895271879;0.839895236214319;1;0.890000000596046;0.91994761810716;0.788325361135567;0.839895236214319;0.808608592557168;0.808608592557168;0.912981586867356;0.867679149261163;0.766541354984692;0.184776950965917;0.266168359004796;0.386664127235567;0.536971054035147;0.590660125177937;0.581367042879848;0.804199999471009;0.60709421566579;0.1428962;0.3006428;0.1602536;0.04145908;0.1372231;0.02570224;0.0008148551;0.05542952;0.003570676;1.353025e-05;0.109999999403954;2;1;1.29905271530151;1
Erosion 0.12;76108181;58109547;76108181;0;16106127;42003420;3.90807484977378e+15;1.22580802892499e+15;676512416954340;3.19680389197902e+15;1;0.722831654495603;0.825340260645886;1;0.880000002682209;0.912670130322943;0.772387251399515;0.825340260645886;0.793260206081522;0.793260206081522;0.904313873352954;0.855214571475019;0.747324022713879;0.198081658127542;0.284821454728229;0.373520465758359;0.566160682451236;0.569370551887259;0.602502969789232;0.788800002503395;0.576534259653559;0.1592497;0.3036138;0.1640994;0.0436542;0.1389116;0.02642393;0.0008592606;0.05618018;0.003671527;1.5378e-05;0.119999997317791;2;1;1.32707512378693;1.41421353816986
Erosion 0.13;74766003;59451725;74766003;0;17448305;42003420;3.82934285472385e+15;1.30454002397492e+15;732888483203100;3.14042782573026e+15;1;0.706513057442824;0.810785274233148;1;0.869999997317791;0.905392637116574;0.756855589282447;0.810785274233148;0.778153297955208;0.778153297955208;0.895506812177395;0.842674561444015;0.728407066914924;0.21080417565001;0.302650875012593;0.360980101274846;0.593736364198598;0.549254199787669;0.621898108674772;0.773799994345009;0.546774209992741;0.1840258;0.3137952;0.180594;0.06278539;0.1453884;0.03052855;0.001470327;0.05924696;0.004291892;2.926588e-05;0.130000002682209;3;1;1.41557919979095;1.41421353816986
Erosion 0.14;73423826;60793902;73423826;0;18790482;42003420;3.75421379787464e+15;1.37966908082413e+15;789264507448440;3.08405180148492e+15;1;0.690915019733394;0.796230298664715;1;0.859999999403954;0.898115149332357;0.74170578568207;0.796230298664715;0.763271896229461;0.763271896229461;0.886557029192324;0.830058451203217;0.70978352718563;0.222944484575301;0.319672587749793;0.348983958925777;0.619818294772887;0.530195130002258;0.639777924139383;0.759199997347593;0.517802433511081;0.2099821;0.3235192;0.1964555;0.08142638;0.1515994;0.03450108;0.002067506;0.06219304;0.004892528;3.921986e-05;0.140000000596046;3;1;1.49986779689789;1.41421353816986
Erosion 0.15;72081649;62136079;72081649;0;20132659;42003420;3.68268761922408e+15;1.45119525947469e+15;845640531693780;3.02767577723958e+15;1;0.675990836177481;0.781675323096281;1;0.850000001490116;0.890837661548141;0.726914957391274;0.781675323096281;0.748601377070799;0.748601377070799;0.877461019932463;0.817365536426805;0.691446615852306;0.23450259459931;0.335901219018628;0.337481917786979;0.644508421387154;0.512094165026163;0.656328678273143;0.745000000186264;0.48960779001293;0.2359426;0.3319509;0.2102057;0.0975942;0.1569824;0.03794777;0.002586067;0.06474817;0.005411506;3.993511e-05;0.149999998509884;3;1;1.57294642925262;1.41421353816986
Dilation 0.01;93556485;40661243;92214308;1342177;0;40661243;5.07930829355276e+15;54574585146012;123767923268517;3.74954838566484e+15;0.985653832548326;1;1;0.968046006729928;0.990000002086163;0.984023003364964;0.976810245962058;0.985653832548326;0.980143465816913;0.980143465816913;0.992775091399863;0.997097454183004;0.976541437609605;0.0197130725384983;0.0293935305862962;0.576702382235436;0.0890112941770773;0.928430706081161;0.133708075004187;0.980200003941357;0.959520117242733;0.009999998;0.2689425;0.1192018;0.01798886;0.1192018;0.01798886;0.0003530979;0.04742634;0.002471387;4.768372e-07;0.00999999791383743;1;1;1;1
Dilation 0.02;94898663;39319065;92214308;2684355;0;39319065;5.02833654997069e+15;105546328728076;247535938751341;3.62578037018202e+15;0.971713458175907;1;1;0.936091989652271;0.979999996721745;0.968045994826136;0.95373643342161;0.971713458175907;0.960565724372701;0.960565724372701;0.985653827280633;0.99421170700159;0.952667474072278;0.0388685446980862;0.0575903875598803;0.538051192600034;0.157742488167694;0.872322919701537;0.226708710538508;0.960799993413686;0.91967222772517;0.02;0.2689416;0.1192033;0.01798618;0.1192033;0.01798618;0.0003538132;0.0474273;0.002475262;5.960464e-08;0.0200000032782555;1;1;1;1
Dilation 0.03;96240840;37976888;92214308;4026532;0;37976888;4.98096772390635e+15;152915154792416;371303862019856;3.5020124469135e+15;0.958161919617493;1;1;0.904137996382199;0.969999998807907;0.9520689981911;0.930758077167575;0.958161919617493;0.941255140077164;0.941255140077164;0.978634003672853;0.991342617305023;0.928367013553184;0.0574897174614856;0.0846138584307681;0.504491075447112;0.215808684537789;0.824105218201262;0.299609546645292;0.941799997325242;0.880447049499664;0.03;0.2689432;0.1192011;0.01798588;0.1192011;0.01798588;0.0003361702;0.04742402;0.002470911;2.384186e-07;0.0300000011920929;1;1;1;1
Dilation 0.04;97583017;36634711;92214308;5368709;0;36634711;4.93720177604067e+15;196681102658100;495071785288372;3.37824452364499e+15;0.944983162387775;1;1;0.872184003112128;0.96000000089407;0.936092001556064;0.907854171904787;0.944983162387775;0.92220067524344;0.922200675243439;0.97171346329565;0.988490039160407;0.903628505701949;0.0755986513012604;0.110486010645952;0.474189472718469;0.266864894370722;0.780888956468835;0.360115136246951;0.923200001072883;0.841835552856535;0.04;0.2689415;0.1192038;0.01798671;0.1192038;0.01798671;0.0003349781;0.04742634;0.002472878;3.099442e-05;0.0399999991059303;1;1;1;1
Dilation 0.05;98925194;35292534;92214308;6710886;0;35292534;4.89703870637364e+15;236844172325124;618839708556888;3.25447660037647e+15;0.932162013248112;1;1;0.840230009842056;0.950000002980232;0.920115004921028;0.885003105963957;0.932162013248112;0.903391905095886;0.903391905095886;0.96489011465563;0.985653830441249;0.878439998233518;0.0932161957686926;0.135227693756715;0.446277037997314;0.312638772316063;0.741306146315104;0.411954485685265;0.905000004656613;0.803829073324982;0.05;0.2689416;0.1192023;0.01798654;0.1192023;0.01798654;0.0003554821;0.04742587;0.002472043;3.576279e-07;0.0499999970197678;1;1;1;1
Dilation 0.06;100267372;33950356;92214308;8053064;0;33950356;4.86047848900798e+15;273404389690784;742607724039712;3.13070858489365e+15;0.919684102222206;1;1;0.808275992764399;0.939999997615814;0.904137996382199;0.862182452125586;0.919684102222206;0.884818949289784;0.884818949289784;0.958161919617493;0.982833848552526;0.852789080754793;0.11036209665206;0.158858658145004;0.42024245503042;0.354140866404888;0.704551645433783;0.457319852587338;0.887199994963408;0.766419248369232;0.06241085;0.2731981;0.124706;0.02111769;0.1216211;0.01901931;0.0003992319;0.04850054;0.00262028;1.311302e-06;0.0600000023841858;2;1;1.04018044471741;1
Dilation 0.07;101609549;32608179;92214308;9395241;0;32608179;4.82752117842263e+15;306361700276140;866375647308228;3.00694066162513e+15;0.907535845868187;1;1;0.776321999494327;0.929999999701977;0.888160999747163;0.839368835779103;0.907535845868187;0.866472490220737;0.866472490220737;0.951526911364683;0.980029958799578;0.826662941227565;0.12705501896248;0.181397559158445;0.395748497323068;0.392032415750399;0.670092949027512;0.497641424467768;0.869799998517334;0.729598123188689;0.07869832;0.2821063;0.1362203;0.02767134;0.1266806;0.02118123;0.0005334616;0.05074555;0.002928019;3.397465e-06;0.0700000002980232;2;1;1.12426030635834;1
Dilation 0.08;102951726;31266002;92214308;10737418;0;31266002;4.79816674603593e+15;335716132662836;990143570576744;2.88317273835662e+15;0.895704342052507;1;1;0.744368006224255;0.920000001788139;0.872184003112128;0.81653760186536;0.895704342052507;0.848343656025583;0.848343656025583;0.944983162387775;0.977242021759155;0.800048229848714;0.143312691525113;0.202862130692019;0.372555914195128;0.426777396816637;0.637550411020603;0.533916691494364;0.852800001907349;0.693357978728039;0.09498188;0.2887804;0.1448484;0.03257936;0.1304734;0.02280152;0.0006338358;0.05243081;0.003157914;3.856421e-05;0.0799999982118607;2;1;1.18727159500122;1
Dilation 0.09;104293904;29923824;92214308;12079596;0;29923824;4.77241517400366e+15;361467704695104;1.11391158605957e+15;2.75940472287379e+15;0.884177353261222;1;1;0.712413989146598;0.909999996423721;0.856206994573299;0.793662595408092;0.884177353261222;0.830424031468147;0.830424031468147;0.938528797972066;0.974469899613641;0.772931092064585;0.159151929911149;0.223269191482134;0.350486217021055;0.458716814783767;0.60663875240576;0.566874809849215;0.836199992914498;0.657691412957055;0.111269;0.2939767;0.151566;0.03640151;0.1334251;0.02406156;0.0007120371;0.05374032;0.003337145;9.655952e-06;0.0900000035762787;2;1;1.23631930351257;1
Dilation 0.1;105636081;28581647;92214308;13421773;0;28581647;4.75026650069864e+15;383616378000132;1.23767950932808e+15;2.63563679960528e+15;0.872943289140005;1;1;0.680459995876526;0.899999998509884;0.840229997938263;0.770715892484805;0.872943289140005;0.812705668295096;0.812705668295096;0.932162008536663;0.971713462271701;0.745297206842986;0.174588660429575;0.242634661031192;0.329401249569173;0.488109405198064;0.577134961196399;0.597067943214807;0.81999999627471;0.622591414835084;0.1275558;0.298133;0.1569384;0.03945923;0.1357851;0.02506959;0.0007742643;0.05478835;0.003479898;1.251698e-06;0.100000001490116;2;1;1.27555429935455;1
Dilation 0.11;106978258;27239470;92214308;14763950;0;27239470;4.73172070559227e+15;402162173106500;1.3614474325966e+15;2.51186887633676e+15;0.861991115989195;1;1;0.648506002606454;0.890000000596046;0.824253001303227;0.747667314326652;0.861991115989195;0.795180978351022;0.795180978351022;0.925881019073774;0.968972574954424;0.717131640104202;0.189638044490049;0.26097370439022;0.309190894978235;0.515155943168989;0.548858974839736;0.624926207428462;0.804199999471009;0.588051201547206;0.1442048;0.3019227;0.1620065;0.04283118;0.1379733;0.02607179;0.0008533597;0.05576932;0.003624439;1.40667e-05;0.109999999403954;3;1;1.31094813346863;1
Dilation 0.12;108320435;25897293;92214308;16106127;0;25897293;4.71677778868456e+15;417105090014212;1.48521535586512e+15;2.38810095306824e+15;0.85131035524368;1;1;0.616552009336383;0.880000002682209;0.808276004668191;0.724484030254885;0.85131035524368;0.77784276233636;0.77784276233636;0.919684106808365;0.966247106447251;0.688418898309623;0.204314480691699;0.278300720158343;0.289765421408364;0.540014321343614;0.521661583398774;0.650792365155418;0.788800002503395;0.554064322370978;0.1700141;0.3141065;0.1817672;0.06572449;0.1457269;0.03098148;0.001578391;0.05944145;0.004363477;2.574921e-05;0.119999997317791;3;1;1.4167799949646;1.41421353816986
Dilation 0.13;109662613;24555115;92214308;17448305;0;24555115;4.70543774286869e+15;428445135830076;1.60898337134794e+15;2.26433293758542e+15;0.840891033665229;1;1;0.584597992258726;0.869999997317791;0.792298996129363;0.701129952283496;0.840891033665229;0.760684160685866;0.760684160685866;0.913569590255441;0.963536924994197;0.659142858000746;0.218631673263851;0.294629413825499;0.271050323182778;0.562809525138799;0.49541622552262;0.67494498778379;0.773799994345009;0.520624604814038;0.1958294;0.3244213;0.1984982;0.08511877;0.1522888;0.03514075;0.002194285;0.06254911;0.004990697;4.047155e-05;0.130000002682209;3;1;1.50637471675873;1.41421353816986
