Row;Volume Density;Surface Density;Mean Curvature Density;Mean Width;Mean Chord Length
Ground Truth;0.494985118576495;0.0658260179559857;0.000335358254808748;7149.78975588843;30.0783874793985
Erosion 0.01;0.484983551427217;0.07338349788997;-0.00139552207584569;-29752.3299305331;26.4355646908188
Erosion 0.02;0.474982506835217;0.0773286919835237;-0.000147351453708763;-3141.51179860773;24.5695352993386
Erosion 0.03;0.464981611545297;0.0776479639852338;0.00220339038031723;46975.9659812146;23.9533189374404
Erosion 0.04;0.454979544234052;0.0743700796427435;0.00378462999973874;80687.7672278912;24.47110700538
Erosion 0.05;0.444978499642052;0.0674738991465487;0.0026915983872166;57384.4904663581;26.3792966033037
Erosion 0.06;0.434977126585477;0.0684179674238896;-0.00104748525237024;-22332.2349143068;25.4305787186303
Erosion 0.07;0.424974753204969;0.0745078795484926;-0.00108493550189397;-23130.6688474538;22.8150233655961
Erosion 0.08;0.414973663822345;0.0767671393315646;0.00136879366686357;29182.4840955454;21.6224633318709
Erosion 0.09;0.404971887650155;0.075228571038202;0.00411815721935603;87798.5195768669;21.5328767813232
Erosion 0.1;0.394970619105036;0.0698819538300634;0.00492926337284919;105091.18610297;22.6078749924773
Erosion 0.11;0.384967999376096;0.0607194932911951;0.00162140499779459;34568.121336358;25.3604223954827
Erosion 0.12;0.374965454298197;0.0704052849059512;-0.00431628077981844;-92022.4853885989;21.3032561290865
Erosion 0.13;0.364962991336441;0.0777180863917764;-0.0037912366907612;-80828.6209302091;18.7839412049682
Erosion 0.14;0.354960879234572;0.0809656815189204;0.000560663553239279;11953.2663113848;17.5363622006503
Erosion 0.15;0.3449583864124;0.0800878930411931;0.0059547051991204;126953.458343486;17.2289904660107
Dilation 0.01;0.50498664093515;0.0735101417642245;0.00200382688134393;42721.3008875456;27.4784746058489
Dilation 0.02;0.514986423924577;0.0775939268082828;0.000682538330710767;14551.6190370804;26.5477696571276
Dilation 0.03;0.524987356540017;0.0780556926096684;-0.00174034404160091;-37103.8846425768;26.903219431557
