Row;Number of Positives;Number of Negatives;Number of True Positives;Number of False Positives;Number of False Negatives;Number of True Negatives;Pair counting cardinality P_1,1;Pair counting cardinality P_1,0;Pair counting cardinality P_0,1;Pair counting cardinality P_0,0;Precision;Negative Predictive Value;Recall;Specificity;Accuracy;Balanced Accuracy;Matthews Correlation Coefficient;Intersection over Union;Balanced Intersection over Union*;Segmentation Covering;Dice coefficient;F2-score;Cohen kappa;Global Consistency Error;Bidirectional Consistency Error;Mutual Information;Variation of Information;Pearson Correlation Coefficient;Normalized Variation of Information;Rand Index;Adjusted Rand Index;Average Hausdorff Distance;Surface Consistency Measure (a=0.5,k=3);Surface Consistency Measure (a=1,k=3);Surface Consistency Measure (a=2,k=3);Surface Consistency Measure (a=0.5,k=5);Surface Consistency Measure (a=1,k=5);Surface Consistency Measure (a=2,k=5);Surface Consistency Measure (a=0.5,k=7);Surface Consistency Measure (a=1,k=7);Surface Consistency Measure (a=2,k=7);Error Rate;Maximum Error Distance;Minimum Error Distance;Average Error Distance;Median Error Distance
Erosion 0.01;39212458;95005270;39212458;0;1342177;93663093;5.15609657880501e+15;52630059241067;125712449173462;3.67276010041259e+15;1;0.985872604751294;0.966904473434418;1;0.990000002086163;0.983452236717209;0.976342476680426;0.966904473434418;0.98014127809534;0.98014127809534;0.983173800755156;0.973347160797962;0.976062717660126;0.0197174479816448;0.0293864906988691;0.551545074953982;0.105050822938937;0.913047545526586;0.159993114906832;0.980200003941357;0.959298846328555;0.009999998;0.2689418;0.1192011;0.01798773;0.1192011;0.01798773;0.0003484488;0.04742634;0.002470136;4.768372e-07;0.00999999791383743;1;1;1;1
Erosion 0.02;37870280;96347448;37870280;0;2684355;93663093;5.10706936257667e+15;101657275469401;251424992010016;3.54704755757604e+15;1;0.972138805378633;0.933808922210741;1;0.979999996721745;0.966904461105371;0.952781134411182;0.933808922210741;0.960557217427253;0.960557217427253;0.965771655602049;0.946336731857382;0.95166762664779;0.038885558588984;0.0575617400944631;0.512741298904011;0.173565556290813;0.855271810393123;0.252897891048374;0.960799993413686;0.919198501715218;0.02;0.2689415;0.1192017;0.01798701;0.1192017;0.01798701;0.0003480315;0.04742634;0.002474964;1.192093e-07;0.0200000032782555;1;1;1;1
Erosion 0.03;36528103;97689625;36528103;0;4026532;93663093;5.06164506241728e+15;147081575628796;377137441183475;3.42133510840258e+15;1;0.95878239884737;0.900713395645159;1;0.969999998807907;0.950356697822579;0.929294436737155;0.900713395645159;0.941236525699528;0.941236525699528;0.947763505754038;0.918961509201441;0.926801503949062;0.0575269462167576;0.0845483491598464;0.479030722395342;0.231400098263233;0.80555744764417;0.325717989048847;0.941799997325242;0.879688418155805;0.03;0.2689425;0.1192012;0.01798606;0.1192012;0.01798606;0.0003348589;0.04742593;0.002470613;7.748604e-07;0.0300000011920929;1;1;1;1
Erosion 0.04;35185926;99031802;35185926;0;5368709;93663093;5.01982364045654e+15;188902997589535;502849890356938;3.29562265922912e+15;1;0.94578803079843;0.867617869079576;1;0.96000000089407;0.933808934539788;0.905860141457997;0.867617869079576;0.922168480507733;0.922168480507733;0.929117121274029;0.891214031601494;0.901450555155534;0.0756630407726736;0.110367754760146;0.448580728772293;0.282208558733434;0.760938913258761;0.38616953417126;0.923200001072883;0.84075829763953;0.0404067;0.2700173;0.1205947;0.01877713;0.1198146;0.01824623;0.0003516078;0.04769772;0.002509892;3.0756e-05;0.0399999991059303;2;1;1.01015686988831;1
Erosion 0.05;33843749;100373979;33843749;0;6710886;93663093;4.98160509669446e+15;227121541351614;628562339530397;3.16991021005566e+15;1;0.933141177954099;0.834522342513994;1;0.950000002980232;0.917261171256997;0.882455189639974;0.834522342513994;0.903342946863505;0.903342946863505;0.909797960127736;0.863086654058191;0.875600461364071;0.0933141122334551;0.135040226872084;0.420521915514547;0.327717579173391;0.72001148090445;0.43798487182245;0.905000004656613;0.802398203652508;0.05671113;0.2831618;0.1375906;0.02845484;0.1272824;0.02143848;0.0005495548;0.05101281;0.002963662;7.152557e-07;0.0499999970197678;2;1;1.13422167301178;1
Erosion 0.06;32501571;101716157;32501571;0;8053064;93663093;4.94698940668253e+15;261737231363544;754274882366951;3.0441976672191e+15;1;0.920828074540803;0.801426791290317;1;0.939999997615814;0.900713395645159;0.859055463348716;0.801426791290317;0.884750310947941;0.884750310947941;0.889768926680917;0.834571499396896;0.849236314365939;0.110499373335747;0.158584982723916;0.394342912410565;0.368936564813577;0.681947680661077;0.483357113380419;0.887199994963408;0.76459849517746;0.07301559;0.2919245;0.1489207;0.03490353;0.1322598;0.02356595;0.0006802678;0.05322433;0.003266394;2.682209e-06;0.0600000023841858;2;1;1.21692264080048;1
Erosion 0.07;31159394;103058334;31159394;0;9395241;93663093;4.91597662200212e+15;292750016043955;879987331540414;2.91848521804564e+15;1;0.908835698818884;0.768331264724735;1;0.929999999701977;0.884165632362367;0.835635615505049;0.768331264724735;0.866381500513801;0.866381500513801;0.868990194373266;0.805660536222297;0.822342667004611;0.127236998376352;0.181020187136064;0.369706441462526;0.406525462320654;0.64619934424603;0.523716508351873;0.869799998517334;0.727349931470445;0.08932361;0.2981892;0.1570218;0.03951824;0.1358185;0.02508676;0.0007755756;0.05480504;0.003483057;8.46386e-06;0.0700000002980232;2;1;1.27604687213898;1
Erosion 0.08;29817217;104400511;29817217;0;10737418;93663093;4.88856671552037e+15;320159922525706;1.00569978071387e+15;2.79277276887218e+15;1;0.897151671987506;0.735235738159152;1;0.920000001788139;0.867617869079576;0.812168684322692;0.735235738159152;0.848227869633371;0.848227869633371;0.847418851503297;0.77634544383315;0.794903385001602;0.143544264309537;0.202363122047565;0.346373202185654;0.44094677939118;0.612374617855531;0.560060445192891;0.852800001907349;0.690643496114808;0.1069121;0.304781;0.1663651;0.04722655;0.1397343;0.02708745;0.0009863377;0.05659026;0.003775597;4.065037e-05;0.0799999982118607;3;1;1.33639740943909;1.41421353816986
Erosion 0.09;28475039;105742689;28475039;0;12079596;93663093;4.86475967084183e+15;343966967204244;1.13141232355043e+15;2.66706022603563e+15;1;0.88576424418335;0.702140186935476;1;0.909999996423721;0.851070093467738;0.788625812405134;0.702140186935476;0.83028121127948;0.83028121127948;0.82500864773025;0.746617666659872;0.766901671855006;0.159437570288483;0.222630189623724;0.324164658073206;0.472539845515719;0.580177870513366;0.593118080024731;0.836199992914498;0.654470476819043;0.1328004;0.3208166;0.1924355;0.07761812;0.149953;0.0335871;0.001953363;0.06143165;0.004756868;3.808737e-05;0.0900000035762787;3;1;1.47555530071259;1.41421353816986
Erosion 0.1;27132862;107084866;27132862;0;13421773;93663093;4.84455552344175e+15;364171114604327;1.25712477272389e+15;2.54134777686217e+15;1;0.87466227954191;0.669044660369894;1;0.899999998509884;0.834522330184947;0.76497590011351;0.669044660369894;0.812533769252344;0.812533769252344;0.801709716049923;0.716468473785053;0.73832009905781;0.174932458515079;0.241836925549022;0.302942607142428;0.501561475932611;0.549376665806767;0.623441802825292;0.81999999627471;0.618822538405984;0.1586908;0.3336464;0.2132958;0.1019424;0.1581299;0.03878713;0.002725124;0.06530643;0.005539894;1.567602e-05;0.100000001490116;3;1;1.5869026184082;1.41421353816986
Erosion 0.11;25790685;108427043;25790685;0;14763950;93663093;4.82795425424032e+15;380772383805750;1.38283722189735e+15;2.41563532768871e+15;1;0.863835168870187;0.635949133804311;1;0.890000000596046;0.817974566902156;0.741185015628821;0.635949133804311;0.794978132535212;0.794978132535212;0.777468101744027;0.68588881742372;0.709140444592772;0.190043736121669;0.259998140461088;0.282596888199151;0.528210231171287;0.51978181679238;0.651462251073255;0.804199999471009;0.583691555528351;0.1845772;0.3441395;0.230356;0.12183;0.1648164;0.04304099;0.003357768;0.06847477;0.006183088;6.16312e-05;0.109999999403954;3;1;1.6779693365097;1.41421353816986
Erosion 0.12;24448508;109769220;24448508;0;16106127;93663093;4.81495586323756e+15;393770774808517;1.50854967107081e+15;2.28992287851524e+15;1;0.853272830033775;0.602853607238729;1;0.880000002682209;0.801426803619364;0.717215869557178;0.602853607238729;0.777607265366812;0.777607265366812;0.752225411623558;0.654869412195344;0.679343737296955;0.204785474630794;0.277127905882462;0.263037726818159;0.552641435378847;0.491234813144514;0.677523051944008;0.788800002503395;0.54906971572916;0.2104647;0.3528857;0.2445748;0.138405;0.1703894;0.04658467;0.003884256;0.07111752;0.006716073;7.265806e-05;0.119999997317791;3;1;1.75386738777161;1.41421353816986
Erosion 0.13;23106330;111111398;23106330;0;17448305;93663093;4.80556034477542e+15;403166293270651;1.63426221390737e+15;2.16421033567869e+15;1;0.842965660462665;0.569758056015052;1;0.869999997317791;0.784879028007526;0.693027038428265;0.569758056015052;0.760414459196635;0.760414459196634;0.725918308024391;0.623400680113791;0.648910172161887;0.219171076242313;0.29323962505248;0.244190576202583;0.574977073594355;0.463599185955591;0.701904028725848;0.773799994345009;0.514949462375436;0.2420536;0.365714;0.2671599;0.1715494;0.1794401;0.05445302;0.006491721;0.07570422;0.008029938;0.0001235604;0.130000002682209;4;1;1.86194539070129;1.73205077648163
Erosion 0.14;21764153;112453575;21764153;0;18790482;93663093;4.79976771285433e+15;408958925191746;1.75997466308082e+15;2.03849788650523e+15;1;0.832904538606265;0.53666252944947;1;0.859999999403954;0.768331264724735;0.668572102677327;0.53666252944947;0.743393363502627;0.743393363502627;0.69847805769265;0.591472834893225;0.617819157706797;0.233213271802654;0.308346026245455;0.225992632198468;0.595312314442323;0.436754433574356;0.724837122772976;0.759199997347593;0.48132359174089;0.2773631;0.3799996;0.2929168;0.2115456;0.1898266;0.0641489;0.01003522;0.08106536;0.00968051;0.0001940727;0.140000000596046;4;1;1.98116111755371;2
Erosion 0.15;20421976;113795752;20421976;0;20132659;93663093;4.79757795913189e+15;411148678914185;1.88568711225429e+15;1.91278543733177e+15;1;0.823080750852633;0.503567002883887;1;0.850000001490116;0.751783501441944;0.643798343301907;0.503567002883887;0.726537890088707;0.726537890088707;0.669829813926523;0.55907573103878;0.586049133286285;0.246924222802818;0.322459272485028;0.208390225551252;0.613720040951818;0.410591219639923;0.746517913664232;0.745000000186264;0.448185096709101;0.3126774;0.3923847;0.3152452;0.2462212;0.1988284;0.07255524;0.01310891;0.08571184;0.01111019;0.0002542734;0.149999998509884;4;1;2.08451175689697;2
Dilation 0.01;41896812;92320916;40554635;1342177;0;92320916;5.08481562797194e+15;123911010074133;54431498340396;3.74404105124566e+15;0.967964698602844;1;1;0.985670161458367;0.990000002086163;0.992835080729183;0.976777313801802;0.967964698602844;0.980320357119466;0.980320357119466;0.98372160769962;0.993424419149031;0.976507741642054;0.0197133991166309;0.0293930440833277;0.559823242374966;0.105238535318498;0.914168344770451;0.158238736382477;0.980200003941357;0.95950512909538;0.009999998;0.2689418;0.1192018;0.01798737;0.1192018;0.01798737;0.0003486872;0.04742754;0.002470851;4.768372e-07;0.00999999791383743;1;1;1;1
Dilation 0.02;43238990;90978738;40554635;2684355;0;90978738;4.96450740780208e+15;244219230243991;108863037235426;3.68960951235063e+15;0.937918184490433;1;1;0.971340312240169;0.979999996721745;0.985670156120085;0.954482971130795;0.937918184490433;0.9612416299572;0.9612416299572;0.967964687051073;0.986934745102796;0.953448194215197;0.0388536188582101;0.0576119856227542;0.529118510574317;0.174317074086242;0.858740940746269;0.247808154559536;0.960799993413686;0.920015629309747;0.02;0.2689415;0.1192028;0.017986;0.1192028;0.017986;0.0003495216;0.04742593;0.002474129;1.192093e-07;0.0200000032782555;1;1;1;1
Dilation 0.03;44581167;89636561;40554635;4026532;0;89636561;4.84780215680962e+15;360924481236452;163294535575820;3.63517801401024e+15;0.909680874886025;1;1;0.957010473698536;0.969999998807907;0.978505236849268;0.933045617850046;0.909680874886025;0.942709571476902;0.942709571476902;0.952704597767224;0.980529314773159;0.930809544897572;0.0574206307036029;0.0847110580346078;0.503335823848362;0.233093526285076;0.812250040465033;0.31651851768651;0.941799997325242;0.881509422262929;0.03;0.2689431;0.1192012;0.01798564;0.1192012;0.01798564;0.0003350973;0.04742509;0.002469957;9.536743e-07;0.0300000011920929;1;1;1;1
Dilation 0.04;45923344;88294384;40554635;5368709;0;88294384;4.73469978401582e+15;474026854030257;217726033916216;3.58074651566984e+15;0.883094118755812;1;1;0.942680635156902;0.96000000089407;0.971340317578451;0.912401076704786;0.883094118755812;0.924676236933385;0.924676236933385;0.937918195336179;0.974206493681973;0.908580357729549;0.0754144491269078;0.110738213087593;0.480650007162245;0.285225388288937;0.771549538728975;0.372417484597359;0.923200001072883;0.843965291998282;0.04;0.2689413;0.1192028;0.01798606;0.1192028;0.01798606;0.000336051;0.04742682;0.002472878;3.057718e-05;0.0399999991059303;1;1;1;1
Dilation 0.05;47265521;86952207;40554635;6710886;0;86952207;4.62520028942067e+15;583526348625402;272157532256610;3.52631501732945e+15;0.858017306103534;1;1;0.928350796615269;0.950000002980232;0.964175398307634;0.892491484346435;0.858017306103534;0.907099140232146;0.907099140232146;0.92358376134062;0.967964693982135;0.886749623443952;0.0928350741281249;0.135735936876211;0.460198598650334;0.332444110317821;0.735115920757035;0.419412310939679;0.905000004656613;0.807362966056839;0.0558393;0.2813203;0.1352282;0.02714038;0.126238;0.02099788;0.0005245209;0.05055076;0.002900183;5.960464e-07;0.0499999970197678;2;1;1.11678612232208;1
