Row;Number of Positives;Number of Negatives;Number of True Positives;Number of False Positives;Number of False Negatives;Number of True Negatives;Pair counting cardinality P_1,1;Pair counting cardinality P_1,0;Pair counting cardinality P_0,1;Pair counting cardinality P_0,0;Precision;Negative Predictive Value;Recall;Specificity;Accuracy;Balanced Accuracy;Matthews Correlation Coefficient;Intersection over Union;Balanced Intersection over Union*;Segmentation Covering;Dice coefficient;F2-score;Cohen kappa;Global Consistency Error;Bidirectional Consistency Error;Mutual Information;Variation of Information;Pearson Correlation Coefficient;Normalized Variation of Information;Rand Index;Adjusted Rand Index;Average Hausdorff Distance;Surface Consistency Measure (a=0.5,k=3);Surface Consistency Measure (a=1,k=3);Surface Consistency Measure (a=2,k=3);Surface Consistency Measure (a=0.5,k=5);Surface Consistency Measure (a=1,k=5);Surface Consistency Measure (a=2,k=5);Surface Consistency Measure (a=0.5,k=7);Surface Consistency Measure (a=1,k=7);Surface Consistency Measure (a=2,k=7);Error Rate;Maximum Error Distance;Minimum Error Distance;Average Error Distance;Median Error Distance
Erosion 0.01;64618839;69598889;64618839;0;1342177;68256712;4.41818719582023e+15;86729919472503;91612588942024;4.41066948339737e+15;1;0.980715539870184;0.979651965943035;1;0.990000002086163;0.989825982971518;0.980183608649273;0.979651965943035;0.980192848733393;0.980192848733393;0.989721408405607;0.983655055255966;0.979987303288939;0.0196143067055396;0.0294108243212567;0.643071160972396;0.0987749967053926;0.928678055090203;0.133147547753822;0.980200003941357;0.960399991933529;0.009999998;0.2689421;0.1192019;0.01798785;0.1192019;0.01798785;0.0003548265;0.04742628;0.002471983;4.768372e-07;0.00999999791383743;1;1;1;1
Erosion 0.02;63276661;70941067;63276661;0;2684355;68256712;4.33506009395408e+15;169857021338655;183225246140760;4.31905682619863e+15;1;0.962160774942954;0.9593039167256;1;0.979999996721745;0.9796519583628;0.960731283930379;0.9593039167256;0.960756778068677;0.960756778068677;0.979229315612041;0.967175971501041;0.959960886167101;0.0384864373061358;0.0576725187854911;0.607353722426927;0.169267058661387;0.877695162470112;0.217953295589368;0.960799993413687;0.921599912036134;0.02;0.2689414;0.1192028;0.01798671;0.1192028;0.01798671;0.0003556013;0.04742599;0.002475441;1.192093e-07;0.0200000032782555;1;1;1;1
Erosion 0.03;61934484;72283244;61934484;0;4026532;68256712;4.25553593356325e+15;249381181729488;274837835082784;4.22744423725661e+15;1;0.944295084487354;0.938955882668636;1;0.969999998807907;0.969477941334318;0.941621699279746;0.938955882668636;0.941671145147599;0.941671145147599;0.968517015844967;0.950561115521947;0.939920764392241;0.0566577073206161;0.0848263849199978;0.576679584198293;0.229271184880583;0.834178667804017;0.284472940130844;0.941799997325242;0.883599792205037;0.03;0.268943;0.1192015;0.01798594;0.1192015;0.01798594;0.0003352165;0.0474236;0.002470493;7.748604e-07;0.0300000011920929;1;1;1;1
Erosion 0.04;60592307;73625421;60592307;0;5368709;68256712;4.17961465137107e+15;325302463921663;366450424024808;4.13583164831458e+15;1;0.927080770105206;0.918607848611671;1;0.96000000089407;0.959303924305835;0.922834585240277;0.918607848611671;0.922916770918736;0.922916770918736;0.957577494824059;0.933808789890576;0.919866908945418;0.0741664599506669;0.110910773073834;0.549217731480795;0.282448320359094;0.795461690734948;0.339617469937886;0.923200001072884;0.846399578437808;0.04;0.2689413;0.1192034;0.01798534;0.1192034;0.01798534;0.0003342032;0.04742694;0.002474189;3.099442e-05;0.0399999991059303;1;1;1;1
Erosion 0.05;59250130;74967598;59250130;0;6710886;68256712;4.10729624737756e+15;397620867915180;458063012966832;4.04421905937256e+15;1;0.910482846202435;0.898259814554706;1;0.950000002980232;0.949129907277353;0.904350680093204;0.898259814554706;0.904475863383561;0.904475863383561;0.946403445584629;0.91691728140432;0.899799305704083;0.0910482791933429;0.135961267244055;0.524100285046344;0.33053280762541;0.76027107973469;0.386754047391376;0.905000004656613;0.809999247061485;0.05;0.268942;0.1192033;0.01798558;0.1192033;0.01798558;0.0003577471;0.04742509;0.002471447;3.576279e-07;0.0499999970197678;1;1;1;1
Erosion 0.06;57907952;76309776;57907952;0;8053064;68256712;4.03858067172781e+15;466336443564928;549675670165568;3.95260640217382e+15;1;0.894468776844529;0.877911765337271;1;0.939999997615814;0.938955882668636;0.88615160267228;0.877911765337271;0.886331868872563;0.886331868872563;0.934987235866856;0.899884835531225;0.879717925559402;0.107336257486503;0.160010965499844;0.500817328679089;0.374542722295186;0.727853017053079;0.427872761474915;0.887199994963408;0.774398749299766;0.06268183;0.2736816;0.125348;0.02151042;0.1218985;0.01914179;0.0004073977;0.04862458;0.002637625;7.152557e-07;0.0600000023841858;2;1;1.04469668865204;1
Erosion 0.07;56565775;77651953;56565775;0;9395241;68256712;3.97346802681596e+15;531449088476775;641288259107592;3.8609938132318e+15;1;0.879008310325434;0.857563731280306;1;0.929999999701977;0.928781865640153;0.868219814579854;0.857563731280306;0.868469417717232;0.868469417717232;0.923320924972237;0.882709706676642;0.859622784273617;0.123061163969491;0.183090625414686;0.479032964910401;0.415147760784638;0.697706944184584;0.464277241563161;0.869799998517334;0.739598116774719;0.07907545;0.2826905;0.1370249;0.02820724;0.1270213;0.0213387;0.0005449653;0.05089909;0.002950907;3.874302e-06;0.0700000002980232;2;1;1.12964737415314;1
Erosion 0.08;55223598;78994130;55223598;0;10737418;68256712;3.91195826010277e+15;592958855189964;732900848049616;3.76938122428978e+15;1;0.86407321657951;0.837215697223342;1;0.920000001788139;0.918607848611671;0.85053845325807;0.837215697223342;0.850874146006862;0.850874146006862;0.911396194239642;0.86539008143044;0.839513852709311;0.138251711562555;0.205228965843364;0.458509217350214;0.452821413608501;0.669475332097275;0.496879396155197;0.852800001907349;0.705597302360213;0.09546638;0.2894429;0.1457783;0.03322697;0.1308623;0.02298617;0.0006468296;0.05260587;0.003182769;3.910065e-05;0.0799999982118607;2;1;1.19332766532898;1
Erosion 0.09;53881420;80336308;53881420;0;12079596;68256712;3.85405132978642e+15;650865785506320;824513505248352;3.67776856709104e+15;1;0.849637152854971;0.816867648005907;1;0.909999996423721;0.908433824002953;0.83309129314324;0.816867648005907;0.833532649628235;0.833532649628235;0.899204351954261;0.847924115523576;0.819391101668501;0.152934693590973;0.226452784832851;0.439068814314383;0.487915389830679;0.642889667027579;0.526347037682992;0.836199992914498;0.672396262436763;0.111867;0.2947073;0.1526043;0.03714395;0.1338565;0.02426934;0.0007280707;0.05393451;0.003367543;9.715557e-06;0.0900000035762787;2;1;1.24296259880066;1
Erosion 0.1;52539243;81678485;52539243;0;13421773;68256712;3.7997473221549e+15;705169793137839;916126094190376;3.58615597814902e+15;1;0.835675539280632;0.796519613948942;1;0.899999998509884;0.898259806974471;0.815862707772811;0.796519613948942;0.816432443336567;0.816432443336567;0.886736340382176;0.830309972706619;0.799254546916667;0.167135110346634;0.246787072928434;0.420574756823696;0.520700476089865;0.617740727973149;0.553186207267053;0.81999999627471;0.639995028419953;0.1282619;0.2989123;0.158054;0.04027021;0.136246;0.02529418;0.0007912517;0.0549978;0.003511548;1.251698e-06;0.100000001490116;2;1;1.28261590003967;1
