Row;Volume Density;Surface Density;Mean Curvature Density;Mean Width;Mean Chord Length
Ground Truth;0.30863021187152;0.0502113484784373;0.000616237460806538;13138.0940271829;24.5864906021441
Erosion 0.01;0.29862719649207;0.0572647620722056;-0.000856052656398114;-18250.9195031052;20.8594036322392
Erosion 0.02;0.288625136645929;0.0596613990430649;0.000811094067905379;17292.4088631096;19.3508795486068
Erosion 0.03;0.278621949569087;0.05736731131345;0.00259822003430844;55393.6774135371;19.4272273313784
Erosion 0.04;0.268618672910997;0.0504177207281199;0.00147209783218307;31384.9140412854;21.3114491517407
Erosion 0.05;0.258615978531018;0.055636897710476;-0.00115502323104017;-24624.9291517029;18.5931271636896
Erosion 0.06;0.248612746663552;0.059225852637056;0.000405787087926541;8651.32234774888;16.7908260054665
Erosion 0.07;0.238609798470037;0.057976548358865;0.0029214936496271;62285.8243937047;16.4625045970714
Erosion 0.08;0.22860581262707;0.0518653705030375;0.00293218897014108;62513.8470886892;17.6307089227238
Erosion 0.09;0.218602521038772;0.0529141111202756;-0.00255546977571352;-54482.2480493253;16.525083113794
Erosion 0.1;0.208598206731229;0.0607667644339443;-0.00302410630648194;-64473.5114784422;13.7310721526392
Erosion 0.11;0.198595004724179;0.0634535323658805;0.0013116752571125;27964.7278153436;12.519082693714
Erosion 0.12;0.188590944230172;0.0609673470826221;0.00594018366616956;126643.861349696;12.3732426129414
Erosion 0.13;0.178586891201268;0.0532956071470477;0.00638228555669496;136069.410065471;13.4034980187789
Erosion 0.14;0.16858374891505;0.0460267783107937;0.000433976258795124;9252.31141604576;14.6509275775676
Erosion 0.15;0.158581494976205;0.0510486630675824;0.000752558245991066;16044.4335594626;12.4259077865575
Dilation 0.01;0.318633361622843;0.0576694786880879;0.00213946343815424;45613.0527693037;22.1006583635831
Dilation 0.02;0.328636936885091;0.0604917980803102;0.00042183327426903;8993.42473254936;21.7310079921107
Dilation 0.03;0.338639093777584;0.0586776476501285;-0.00147974780067499;-31548.0102691914;23.0847082212126
Dilation 0.04;0.348642863132537;0.0522197996470273;-0.000500122937154976;-10662.5490843955;26.705798604295
Dilation 0.05;0.358646169651042;0.0568382587079528;0.00256720734330888;54732.4913021721;25.2397717877913
Dilation 0.06;0.368649326867468;0.0614329365179217;0.0013068878592317;27862.6611811256;24.0033667776843
Dilation 0.07;0.37865332017554;0.0613169706086452;-0.00142961752857742;-30479.2400786156;24.7013716703188
Dilation 0.08;0.38865564130032;0.0565101327259026;-0.00233292970397632;-49737.7257291911;27.5105098892944
Dilation 0.09;0.398659164306842;0.0527610214069941;0.00238100661635734;50762.7185859574;30.2237639587466
Dilation 0.1;0.408663135219601;0.0628211529777817;0.00568459605762944;121194.770298353;26.020734472297
Dilation 0.11;0.41866597890166;0.0680869807441043;0.00279381275413602;59563.6860669609;24.5959491418872
Dilation 0.12;0.42867068139461;0.0685624820302215;-0.00240910070984625;-51361.6806181953;25.0090526889419
Dilation 0.13;0.438673204077198;0.0642480611283493;-0.00602491497149028;-128450.32059171;27.3112181985292
Dilation 0.14;0.44867708540871;0.0551463084126443;-0.00414536967142302;-88378.6851408011;32.5444874424874
