Row;Number of Positives;Number of Negatives;Number of True Positives;Number of False Positives;Number of False Negatives;Number of True Negatives;Pair counting cardinality P_1,1;Pair counting cardinality P_1,0;Pair counting cardinality P_0,1;Pair counting cardinality P_0,0;Precision;Negative Predictive Value;Recall;Specificity;Accuracy;Balanced Accuracy;Matthews Correlation Coefficient;Intersection over Union;Balanced Intersection over Union*;Segmentation Covering;Dice coefficient;F2-score;Cohen kappa;Global Consistency Error;Bidirectional Consistency Error;Mutual Information;Variation of Information;Pearson Correlation Coefficient;Normalized Variation of Information;Rand Index;Adjusted Rand Index;Average Hausdorff Distance;Surface Consistency Measure (a=0.5,k=3);Surface Consistency Measure (a=1,k=3);Surface Consistency Measure (a=2,k=3);Surface Consistency Measure (a=0.5,k=5);Surface Consistency Measure (a=1,k=5);Surface Consistency Measure (a=2,k=5);Surface Consistency Measure (a=0.5,k=7);Surface Consistency Measure (a=1,k=7);Surface Consistency Measure (a=2,k=7);Error Rate;Maximum Error Distance;Minimum Error Distance;Average Error Distance;Median Error Distance
Erosion 0.01;40074879;94142849;40074879;0;1342177;92800672;5.10988097769891e+15;53787580871584;124554927542945;3.71897570151869e+15;1;0.985743186930746;0.967593616504273;1;0.990000002086163;0.983796808252136;0.976626241295394;0.967593616504273;0.980142572273276;0.980142572273276;0.983529940723582;0.973905769273831;0.976353151381753;0.0197148596257738;0.029390793772259;0.557223719289233;0.104867135126605;0.913995012125583;0.158387832164105;0.980200003941357;0.959435203677664;0.009999998;0.2689422;0.1192017;0.01798797;0.1192017;0.01798797;0.0003508329;0.04742688;0.002470255;4.768372e-07;0.00999999791383743;1;1;1;1
Erosion 0.02;38732701;95485027;38732701;0;2684355;92800672;5.05969623897764e+15;103972319592856;249109947886560;3.59442068117507e+15;1;0.971887162999912;0.935187208863904;1;0.979999996721745;0.967593604431952;0.953360605068484;0.935187208863904;0.960562250275652;0.960562250275652;0.966508257785485;0.947468828724723;0.952274227853804;0.0388754928921853;0.0575792401352459;0.518510492904131;0.173512639019998;0.856686876164584;0.250732426440077;0.960799993413687;0.919490263532593;0.02;0.2689413;0.1192032;0.0179863;0.1192032;0.0179863;0.000351727;0.04742634;0.002475023;1.192093e-07;0.0200000032782555;1;1;1;1
Erosion 0.03;37390524;96827204;37390524;0;4026532;92800672;5.01311441718773e+15;150554141382768;373664875429504;3.46986575363213e+15;1;0.95841528172186;0.902780825368177;1;0.969999998807907;0.951390412684088;0.930182207461707;0.902780825368177;0.941247539213731;0.941247539213731;0.948906792976006;0.920682422409105;0.927751314805676;0.0575049191883517;0.0845883450255956;0.48488920765802;0.231487106000552;0.807388442558589;0.323136180785118;0.941799997325242;0.880155406566111;0.03;0.2689422;0.1192014;0.01798558;0.1192014;0.01798558;0.000336051;0.04742593;0.002469718;0;0.0300000011920929;1;1;1;1
Erosion 0.04;36048347;98169381;36048347;0;5368709;92800672;4.97013547359647e+15;193533084974024;498219802972448;3.34531082608918e+15;1;0.945311776998981;0.87037444187245;1;0.96000000089407;0.935187220936225;0.907069573021244;0.87037444187245;0.922187530659285;0.922187530659285;0.930695397014845;0.893539554566392;0.902771999148596;0.0756249404695693;0.110439917366292;0.454527281457791;0.28244519592629;0.76315782401843;0.383250670267691;0.923200001072883;0.841421112706223;0.04;0.2689416;0.1192043;0.01798677;0.1192043;0.01798677;0.0003353357;0.04742652;0.002472162;3.135204e-05;0.0399999991059303;1;1;1;1
Erosion 0.05;34706170;99511558;34706170;0;6710886;92800672;4.93075940820388e+15;232909150366620;622774730515392;3.22075589854624e+15;1;0.932561743229867;0.837968058376723;1;0.950000002980232;0.918984029188361;0.884000539191433;0.837968058376723;0.903371918597989;0.903371918597989;0.911841807650138;0.866033062088762;0.877323419852745;0.0932561687644855;0.135154569185982;0.42655534487851;0.328114168932628;0.722601257840479;0.43477861888925;0.905000004656613;0.803278227283362;0.05536196;0.2803128;0.1339408;0.02643323;0.1256686;0.02075714;0.0005117655;0.05029845;0.002865672;5.960464e-07;0.0499999970197678;2;1;1.10723793506622;1
Erosion 0.06;33363992;100853736;33363992;0;8053064;92800672;4.89498619569901e+15;268682362871488;747329750859008;3.09620087820262e+15;1;0.920151059153624;0.805561650736354;1;0.939999997615814;0.902780825368177;0.86095203474909;0.805561650736354;0.884790931872786;0.884790931872786;0.89231143163439;0.838155567739848;0.851392208586051;0.110418131486057;0.158751832450847;0.40046205954288;0.369504128521221;0.684897741591845;0.479896564614418;0.887199994963408;0.765717896746197;0.07174983;0.2897066;0.1461146;0.03340912;0.1310102;0.02304733;0.0006512403;0.05267113;0.00319308;2.026558e-06;0.0600000023841858;2;1;1.19582712650299;1
Erosion 0.07;32021815;102195913;32021815;0;9395241;92800672;4.86281588938808e+15;300852669182416;871884678401952;2.97164595065968e+15;1;0.908066372478124;0.773155267240627;1;0.929999999701977;0.886577633620313;0.837899933694681;0.773155267240627;0.866435353357883;0.866435353357883;0.872067191773686;0.809899556952386;0.824964544004568;0.127129292688187;0.181250161625449;0.375910177841352;0.407275811667869;0.649503514901888;0.520024383892626;0.869799998517334;0.728731674133566;0.08814546;0.29643;0.1548299;0.03840876;0.1348326;0.02468592;0.0007535219;0.05436933;0.003426313;7.271767e-06;0.0700000002980232;2;1;1.25921750068665;1
Erosion 0.08;30679638;103538090;30679638;0;10737418;92800672;4.83424846127581e+15;329420097294684;996439605944896;2.84709102311674e+15;1;0.896294996363174;0.7407488837449;1;0.920000001788139;0.87037444187245;0.81481870257264;0.7407488837449;0.848296403681786;0.848296403681786;0.851069204366014;0.781257246386518;0.79802601114425;0.143407196212707;0.202667105587737;0.352660428679821;0.441892624960797;0.616030068704213;0.556152446883261;0.852800001907349;0.69231134563114;0.1045396;0.3014686;0.1613622;0.04215354;0.1376991;0.02591586;0.0008297563;0.0556435;0.003599405;3.939867e-05;0.0799999982118607;2;1;1.30674064159393;1
Erosion 0.09;29337460;104880268;29337460;0;12079596;92800672;4.80928389410434e+15;354384664466160;1.12099462628851e+15;2.72253600277312e+15;1;0.884824893849432;0.70834247610453;1;0.909999996423721;0.854171238052265;0.791681158186953;0.70834247610453;0.830365752812892;0.830365752812892;0.829274558248692;0.752220637835357;0.770561631519573;0.159268487221659;0.223019312604296;0.330534303810378;0.473694924410845;0.584184543698872;0.589004860540263;0.836199992914498;0.656449011360086;0.1257403;0.3117109;0.177365;0.05932605;0.1440923;0.02975285;0.001361489;0.05863923;0.004175603;2.461672e-05;0.0900000035762787;3;1;1.39710831642151;1.41421353816986
Erosion 0.1;27995283;106222445;27995283;0;13421773;92800672;4.78792222507374e+15;375746333496760;1.24554955383146e+15;2.59798107523018e+15;1;0.873644661446081;0.675936092608803;1;0.899999998509884;0.837968046304402;0.768458169835161;0.675936092608803;0.812635531063444;0.812635531063444;0.806637073561229;0.722781577016469;0.742555898529424;0.17472893489288;0.242322545160984;0.309393628253908;0.50294070291285;0.553736981771713;0.619130182754279;0.81999999627471;0.621137159055174;0.1517021;0.3255397;0.199902;0.08577728;0.152917;0.03539026;0.002205253;0.06282461;0.005026221;1.019239e-05;0.100000001490116;3;1;1.51701629161835;1.41421353816986
Erosion 0.11;26653106;107564622;26653106;0;14763950;92800672;4.7701634342418e+15;393505124328700;1.3701044813744e+15;2.47342614768723e+15;1;0.86274343993883;0.643529709113076;1;0.890000000596046;0.821764854556538;0.745118134890737;0.643529709113076;0.79509822271701;0.79509822271701;0.783106877283471;0.692931616061515;0.713992625350048;0.189803555758072;0.260591823376937;0.289128266986692;0.52982988076178;0.524500566302011;0.646955991851867;0.804199999471009;0.586368499652517;0.1776663;0.3368573;0.218347;0.1074289;0.1601408;0.04000801;0.00289607;0.06625116;0.005724072;5.328655e-05;0.109999999403954;3;1;1.61514163017273;1.41421353816986
Erosion 0.12;25310929;108906799;25310929;0;16106127;92800672;4.75600752160851e+15;407661036961984;1.49465940891734e+15;2.34887122014429e+15;1;0.852110913662975;0.611123325617349;1;0.880000002682209;0.805561662808675;0.72162653454024;0.611123325617349;0.777746695328192;0.777746695328192;0.758630100998854;0.662662091710083;0.684854995260636;0.204506614708035;0.277841412142956;0.269648470724665;0.554519361326459;0.496319187610978;0.672823349519011;0.788800002503395;0.552136070952889;0.2036296;0.3462877;0.2337176;0.1254669;0.1661598;0.04385233;0.003473043;0.06910574;0.00630337;6.496906e-05;0.119999997317791;3;1;1.69690680503845;1.41421353816986
Erosion 0.13;23968751;110248977;23968751;0;17448305;92800672;4.74545448065344e+15;418214077917056;1.61921442926096e+15;2.22431619980067e+15;1;0.841737261652777;0.57871691797698;1;0.869999997317791;0.78935845898849;0.697945265626237;0.57871691797698;0.760574151045215;0.760574151045215;0.733148433879542;0.631964072407293;0.655125485987438;0.218851692545153;0.2940848934344;0.250879716949886;0.577132977209065;0.469058931353677;0.697009817941601;0.773799994345009;0.518433182639094;0.2295914;0.3542657;0.2467196;0.1407275;0.1712505;0.04710531;0.003961504;0.07152009;0.006794751;7.331371e-05;0.130000002682209;3;1;1.76608157157898;1.73205077648163
Erosion 0.14;22626574;111591154;22626574;0;18790482;92800672;4.73850432710183e+15;425164231468668;1.7437693568039e+15;2.09976127225773e+15;1;0.831613158154095;0.546310534481253;1;0.859999999403954;0.773155267240627;0.674031919802621;0.546310534481253;0.7435741567667;0.7435741567667;0.706598735893015;0.600828441367775;0.624785923694388;0.232851685274507;0.309335160427509;0.232759224736566;0.597768074902433;0.442602128779087;0.719745245174074;0.759199997347593;0.485253513668595;0.2578063;0.3630961;0.2617369;0.1608167;0.1772101;0.05168998;0.005182266;0.07445765;0.0075351;9.691715e-05;0.140000000596046;4;1;1.84146809577942;1.73205077648163
