Row;Volume Density;Surface Density;Mean Curvature Density;Mean Width;Mean Chord Length
Ground Truth;0.50555775125;0.0674002458015328;8.80700137410937e-05;1877.64002531003;30.0033179545765
Erosion 0.01;0.495556699192896;0.0751956067691015;-0.00193686357623686;-41293.6528544055;26.3609389157306
Erosion 0.02;0.485555281345697;0.0795267264957524;-0.00102827646129837;-21922.7062515729;24.422244080253
Erosion 0.03;0.475553273755284;0.08037953464373;0.00115047721676846;24528.0087813111;23.6653907422132
Erosion 0.04;0.46555160209455;0.0777844131846774;0.00291387491038387;62123.393968889;23.9406113916025
Erosion 0.05;0.455550341014535;0.0717138534821883;0.00258887567438371;55194.4570039985;25.4093355129874
Erosion 0.06;0.44554819905225;0.0701513695263077;-0.000942920859849584;-20102.9371059042;25.4049608474237
Erosion 0.07;0.435546191461837;0.0771903338244116;-0.00200374611529644;-42719.5789670302;22.5699861566913
Erosion 0.08;0.425543691174561;0.0806560821968384;-0.000231210171920883;-4929.36760897651;21.1041091798154
Erosion 0.09;0.415540996794581;0.0805686552022343;0.00248550227712937;52990.5510433656;20.6304050006314
Erosion 0.1;0.40553919822708;0.0769000402315101;0.00428605565850774;91378.0901497193;21.0943555819316
Erosion 0.11;0.395537108520523;0.0696804358913249;0.00328548767771043;70046.1247169484;22.7057769350014
Erosion 0.12;0.385533757211393;0.0702776837452661;-0.0027295095330331;-58192.7506421732;21.9434526959556
Erosion 0.13;0.375530786622567;0.0797606055544605;-0.00551742992439875;-117630.812382405;18.8328954632198
Erosion 0.14;0.365527920545196;0.0855001380070953;-0.00335904722642917;-71614.4037151109;17.100693826476
Erosion 0.15;0.355525912954782;0.0875089757803319;0.0013503332480179;28788.9106210308;16.2509461359592
Dilation 0.01;0.515558474842529;0.0750924926117482;0.00177008054100668;37737.8625327248;27.462584176457
Dilation 0.02;0.525560191293887;0.0792506143887273;0.000474896876507399;10124.7330998081;26.5264917047075
Dilation 0.03;0.535561213490575;0.0798591628348198;-0.00194792870471335;-41529.5598019591;26.8252856393361
Dilation 0.04;0.545561660874256;0.0769375614786494;-0.00370020908787262;-78887.9255296829;28.3638654716475
Dilation 0.05;0.555562698001152;0.0704515560091977;-0.00292985277011211;-62464.0396401015;31.5429625388896
Dilation 0.06;0.565564250220222;0.0683876834937533;0.00103528701623252;22072.1702743979;33.0798893208238
Dilation 0.07;0.575565033533583;0.0752868677516265;0.00163927511813168;34949.1097315757;30.579836867826
Dilation 0.08;0.585566772380253;0.0784396919911007;-0.000654097341780122;-13945.2612439209;29.8607379767217
Dilation 0.09;0.59556944436492;0.0778299259442468;-0.00366434698657713;-78123.350688329;30.6087632560028
Dilation 0.1;0.605570257538697;0.0734936894680514;-0.00527613594277525;-112486.459400984;32.9590342747425
Dilation 0.11;0.61557215315255;0.0653693681736838;-0.00326498323054181;-69608.9728525938;37.6673154629245
Dilation 0.12;0.625573794952869;0.0679558172450424;0.0032615672902302;69536.1454964858;36.8223837377811
Dilation 0.13;0.635576123542753;0.0766886415242453;0.00455965403805351;97211.1682483026;33.1509913807413
Dilation 0.14;0.645576667972786;0.0813614216717514;0.00106462351266229;22697.6201586324;31.7387112814883
Dilation 0.15;0.655579646026717;0.0819762844028543;-0.00443061027800842;-94459.9738452965;31.9887465406466
Fuzzy Edge 0.01;0.505557370529697;0.0767839172421757;-6.54923110177992e-05;-1396.28665073881;26.336628225683
Fuzzy Edge 0.02;0.505557549692192;0.0859327107219563;-0.000232014292293806;-4946.51133966565;23.5327174224946
Fuzzy Edge 0.03;0.505556631484403;0.0948593993267995;-0.000403278557427819;-8597.84083833344;21.318146017042
Fuzzy Edge 0.04;0.505555974555253;0.103531649099591;-0.000580593467326692;-12378.1692130867;19.5324223636751
Fuzzy Edge 0.05;0.505556862902626;0.111982339621124;-0.000769115204579532;-16397.4255350798;18.0584497381678
Fuzzy Edge 0.06;0.505556541903155;0.124717041973374;-0.000994971047119693;-21212.6396118054;16.2145135549667
Fuzzy Edge 0.07;0.505555758067237;0.143131394508608;-0.00115404384178343;-24604.0487136208;14.1284379937158
Fuzzy Edge 0.08;0.505554481534457;0.159743687138703;-0.00135384221545734;-28863.7213021235;12.6591414181016
Fuzzy Edge 0.09;0.505555019021943;0.174538233110315;-0.00166777512656719;-35556.72581209;11.5861152026768
Fuzzy Edge 0.1;0.505554586045913;0.187489702461247;-0.00203817783636691;-43453.6583077271;10.7857568583087
Fuzzy Edge 0.11;0.505555205649543;0.198654954963909;-0.00243498297245396;-51913.486734187;10.1795639729478
Fuzzy Edge 0.12;0.505553048234493;0.214430991561521;-0.00119700362056599;-25519.9450180966;9.4305966605475
Fuzzy Edge 0.13;0.505554197860506;0.233972579601683;-0.00182964691404439;-39007.809038092;8.64296489308559
Fuzzy Edge 0.14;0.505553160211053;0.251553390695774;-0.00268943219024245;-57338.3074584467;8.03890035133674
Fuzzy Edge 0.15;0.505552727235022;0.267224801875904;-0.00358735228510317;-76481.8347275242;7.56745217788271
FN Cluster 0.01;0.495579042249107;0.0765866692802173;-0.0034864823999567;-74331.3032849356;25.8833056408744
FN Cluster 0.02;0.485587762013112;0.0852523349797781;-0.00467956687034097;-99767.6925848733;22.7835524799781
FN Cluster 0.03;0.475585605120619;0.0904270889361246;-0.00424322800908946;-90465.010824285;21.0373068829656
FN Cluster 0.04;0.465594668279408;0.0942130556017502;-0.00394649131574144;-84138.6272035632;19.7677345376646
FN Cluster 0.05;0.455590331576553;0.0974632937118144;-0.00375677466711031;-80093.8955428563;18.6979246945489
FN Cluster 0.06;0.445592332746977;0.100159572897868;-0.00356555303736279;-76017.0779012188;17.7952968390287
FN Cluster 0.07;0.435595647775701;0.102553912289317;-0.0033939336992079;-72358.1782968183;16.9899182996288
FN Cluster 0.08;0.425594409090998;0.104588283550009;-0.00325449331388853;-69385.3293383749;16.2769440187819
FN Cluster 0.09;0.415593595917221;0.10659352410085;-0.0031352753086923;-66843.6186154479;15.595453829785
FN Cluster 0.1;0.405593887578834;0.108327747481144;-0.00300924823779655;-64156.7395911968;14.9765465269896
FN Cluster 0.11;0.395596605399239;0.110173658354372;-0.00289576986502543;-61737.3970060067;14.3626566026085
FN Cluster 0.12;0.385595934062439;0.111608391623608;-0.00280009781233547;-59697.6826037548;13.8196036499777
