Row;Number of Positives;Number of Negatives;Number of True Positives;Number of False Positives;Number of False Negatives;Number of True Negatives;Pair counting cardinality P_1,1;Pair counting cardinality P_1,0;Pair counting cardinality P_0,1;Pair counting cardinality P_0,0;Precision;Negative Predictive Value;Recall;Specificity;Accuracy;Balanced Accuracy;Matthews Correlation Coefficient;Intersection over Union;Balanced Intersection over Union*;Segmentation Covering;Dice coefficient;F2-score;Cohen kappa;Global Consistency Error;Bidirectional Consistency Error;Mutual Information;Variation of Information;Pearson Correlation Coefficient;Normalized Variation of Information;Rand Index;Adjusted Rand Index;Average Hausdorff Distance;Surface Consistency Measure (a=0.5,k=3);Surface Consistency Measure (a=1,k=3);Surface Consistency Measure (a=2,k=3);Surface Consistency Measure (a=0.5,k=5);Surface Consistency Measure (a=1,k=5);Surface Consistency Measure (a=2,k=5);Surface Consistency Measure (a=0.5,k=7);Surface Consistency Measure (a=1,k=7);Surface Consistency Measure (a=2,k=7);Error Rate;Maximum Error Distance;Minimum Error Distance;Average Error Distance;Median Error Distance
Erosion 0.01;38962700;95255028;38962700;0;1342177;93912851;5.1697584395599e+15;52294839797901;126047668616628;3.6590982396577e+15;1;0.985909646680278;0.966699389753751;1;0.990000002086163;0.983349694876876;0.976257268243449;0.966699389753751;0.980140907676128;0.980140907676128;0.983067768048467;0.973180893278987;0.975975490940729;0.01971818882007;0.0293851807009154;0.549863521357796;0.105103705593997;0.912764754932209;0.16047170189438;0.980200003941357;0.959256671159792;0.009999998;0.2689416;0.1192018;0.01798797;0.1192018;0.01798797;0.0003482103;0.0474261;0.002470374;4.768372e-07;0.00999999791383743;1;1;1;1
Erosion 0.02;37620522;96597206;37620522;0;2684355;93912851;5.12106644302449e+15;100986836333311;252095431146106;3.53305047712822e+15;1;0.972210842205933;0.933398754696609;1;0.979999996721745;0.966699377348305;0.952607153771983;0.933398754696609;0.96055577669047;0.96055577669047;0.965552245680513;0.945999706397148;0.951485435243718;0.0388884400625483;0.0575564182164001;0.51103367441709;0.173579489730884;0.854848997216233;0.253543897226853;0.960799993413686;0.919108356630045;0.02;0.2689412;0.1192017;0.01798701;0.1192017;0.01798701;0.0003493428;0.04742616;0.002474368;0;0.0200000032782555;1;1;1;1
Erosion 0.03;36278345;97939383;36278345;0;4026532;93912851;5.07597736230826e+15;146075917049540;378143099762731;3.4070028085116e+15;1;0.958887509021779;0.90009814445036;1;0.969999998807907;0.95004907222518;0.929027915407891;0.90009814445036;0.941233372394171;0.941233372394171;0.947422791900816;0.918449098279565;0.926516206050048;0.0575332528274727;0.0845361982339841;0.477297387256039;0.231372367896247;0.805010117875037;0.326488277810766;0.941799997325242;0.879544271043942;0.03;0.2689431;0.1192014;0.0179866;0.1192014;0.0179866;0.0003356338;0.04742527;0.002470851;1.192093e-06;0.0300000011920929;1;1;1;1
Erosion 0.04;34936168;99281560;34936168;0;5368709;93912851;5.03449115979069e+15;187562119567113;504190768379360;3.28095513989497e+15;1;0.945924409326364;0.866797534204111;1;0.96000000089407;0.933398767102056;0.905497070976805;0.866797534204111;0.922163025366737;0.922163025366737;0.928646538601371;0.890521465206034;0.901053581966125;0.0756739510546645;0.110345851647852;0.446822033380684;0.282136282822793;0.760275467779354;0.387040351349855;0.923200001072883;0.840553877185302;0.04016326;0.2693723;0.1197607;0.01830453;0.1194481;0.01809174;0.0003420115;0.047535;0.00248754;3.188848e-05;0.0399999991059303;2;1;1.00406897068024;1
Erosion 0.05;33593991;100623737;33593991;0;6710886;93912851;4.99660783547178e+15;225445443886026;630238436995985;3.15490747127834e+15;1;0.933307128118289;0.833496923957862;1;0.950000002980232;0.916748461978931;0.881991281359709;0.833496923957862;0.90333464935579;0.90333464935579;0.909188243587168;0.862209014581685;0.875082792749959;0.0933307072488849;0.135005550962764;0.418738200848056;0.327597687743285;0.719237021961797;0.438941357036447;0.905000004656613;0.802126997157329;0.0564777;0.282668;0.1369511;0.02808714;0.1270009;0.0213182;0.0005413294;0.05088818;0.002946317;6.556511e-07;0.0499999970197678;2;1;1.12955319881439;1
Erosion 0.06;32251813;101965915;32251813;0;8053064;93912851;4.96232736515277e+15;259725914205032;756286199525463;3.02885970874886e+15;1;0.921022000341977;0.80019628890072;1;0.939999997615814;0.90009814445036;0.858486101617008;0.80019628890072;0.884738675399408;0.884738675399408;0.889010041665352;0.833503716036549;0.848588452730404;0.110522644432812;0.158534423674672;0.392534510380731;0.368765775138739;0.681065359800029;0.484389382419728;0.887199994963408;0.764253745813999;0.07279605;0.2915372;0.1484209;0.03461409;0.1320403;0.02347112;0.0006751418;0.05312639;0.003253222;3.695488e-06;0.0600000023841858;2;1;1.21326458454132;1
Erosion 0.07;30909636;103308092;30909636;0;9395241;93912851;4.93164979991552e+15;290403479442277;882333868142092;2.90281204013224e+15;1;0.909056097948261;0.766895678654472;1;0.929999999701977;0.883447839327236;0.834955803124344;0.766895678654472;0.866366072574679;0.866366072574679;0.86807125957598;0.804397379712471;0.821554609838191;0.127267854254596;0.180950551988962;0.36787367532546;0.406300250506753;0.645210979042974;0.524817792164717;0.869799998517334;0.726924635277793;0.08910921;0.2978651;0.156601;0.03926706;0.1356338;0.02500695;0.0007702112;0.05472231;0.003471255;8.404255e-06;0.0700000002980232;2;1;1.27298486232758;1
Erosion 0.08;29567459;104650269;29567459;0;10737418;93912851;4.90457511287694e+15;317478166480862;1.00838153675872e+15;2.77676437151561e+15;1;0.897397129480862;0.733595068408223;1;0.920000001788139;0.866797534204111;0.811372977483756;0.733595068408223;0.848208233034342;0.848208233034341;0.846328051777173;0.774881520077836;0.793964594997857;0.143583537507596;0.202271141668483;0.344516386823761;0.44066334675997;0.611281009282033;0.561226083547376;0.852800001907349;0.690130398174585;0.1059777;0.3034308;0.1641521;0.04459286;0.1388701;0.02653062;0.0009014606;0.0561794;0.003690958;4.017353e-05;0.0799999982118607;3;1;1.32471692562103;1.41421353816986
Erosion 0.09;28225281;105992447;28225281;0;12079596;93912851;4.88110328789132e+15;340949991466476;1.1344292992882e+15;2.65071660898613e+15;1;0.886033426513872;0.700294433351081;1;0.909999996423721;0.85014721667554;0.787708243165354;0.700294433351081;0.83025698486877;0.83025698486877;0.823733136584918;0.744947410509138;0.765801045287508;0.159486023109902;0.222512524615947;0.322284100315953;0.472194078967821;0.578978972654354;0.594344931403285;0.836199992914498;0.653862067071943;0.1318802;0.319635;0.1905014;0.0753206;0.1491972;0.03309745;0.00187701;0.06107199;0.004682362;3.474951e-05;0.0900000035762787;3;1;1.46533048152924;1.41421353816986
Erosion 0.1;26883104;107334624;26883104;0;13421773;93912851;4.86123435993441e+15;360818919423393;1.26047696790482e+15;2.5246689403695e+15;1;0.874953929125424;0.666993823104832;1;0.899999998509884;0.833496911552416;0.763929883057313;0.666993823104832;0.812504604293559;0.812504604293559;0.800235506407016;0.714586143014324;0.737045932405478;0.174990788432651;0.241690171737032;0.301038606122998;0.501148900847528;0.548071670870777;0.624727880318312;0.81999999627471;0.618111047195321;0.1577859;0.3326018;0.2115887;0.09991676;0.1574591;0.03835332;0.002658129;0.06498766;0.005474627;1.567602e-05;0.100000001490116;3;1;1.57785320281982;1.41421353816986
Erosion 0.11;25540927;108676801;25540927;0;14763950;93912851;4.84496831017615e+15;377084969181650;1.38652463652145e+15;2.39862127175288e+15;1;0.864148099096145;0.633693212858583;1;0.890000000596046;0.816846606429291;0.740003233305013;0.633693212858583;0.794943710210543;0.794943710210543;0.775779941877542;0.683788485500154;0.70768039812575;0.190112580771007;0.259818833807741;0.280669735589859;0.527725954466528;0.518369183431153;0.652806491867514;0.804199999471009;0.582868948194945;0.1836884;0.3432083;0.2288363;0.1200281;0.1642191;0.04265183;0.003294587;0.06819093;0.006123543;6.037951e-05;0.109999999403954;3;1;1.66988933086395;1.41421353816986
Erosion 0.12;24198750;110018978;24198750;0;16106127;93912851;4.83230513861655e+15;389748140741251;1.51257230513808e+15;2.27257360313625e+15;1;0.853605920607625;0.600392602612334;1;0.880000002682209;0.800196301306167;0.715890131430032;0.600392602612334;0.777567294498844;0.777567294498844;0.750306645547234;0.652544961348952;0.67768479663652;0.204865416366731;0.276912527069832;0.261087707122659;0.552080076612939;0.489712251824285;0.678925170985928;0.788800002503395;0.548127686947227;0.2095879;0.3520433;0.2432021;0.1367763;0.1698487;0.04623115;0.003824353;0.07085967;0.006662548;7.170439e-05;0.119999997317791;3;1;1.74656105041504;1.41421353816986
Erosion 0.13;22856572;111361156;22856572;0;17448305;93912851;4.82324483984734e+15;398808439510461;1.63862006766756e+15;2.14652584060677e+15;1;0.843317853130045;0.567091967555192;1;0.869999997317791;0.783545983777596;0.691548104332546;0.567091967555192;0.76036867414893;0.76036867414893;0.723750716991942;0.620845793760928;0.647038606861477;0.219262646337721;0.292984603640955;0.24221796700022;0.574332680368221;0.461963605221456;0.703364429651934;0.773799994345009;0.513879429768187;0.2404101;0.3642067;0.2644735;0.1674709;0.1783555;0.05346608;0.006140649;0.07514769;0.007864177;0.0001165271;0.130000002682209;4;1;1.84930336475372;1.73205077648163
