Row;Volume Density;Surface Density;Mean Curvature Density;Mean Width;Mean Chord Length
Ground Truth;0.694326954698099;0.069178790680538;-0.00141447658185943;-30156.4372724032;40.1468107706273
Erosion 0.01;0.684326679011809;0.0773964576629182;-0.00364316288570826;-77671.7087048437;35.3673384894296
Erosion 0.02;0.674326231628127;0.0822721030301366;-0.00291473443788894;-62141.7189716659;32.7851705155085
Erosion 0.03;0.664325463244975;0.0838487159608536;-0.000788384398171594;-16808.2419708563;31.6916224956922
Erosion 0.04;0.65432382890976;0.0820802606386953;0.00121849389387333;25978.1145539314;31.8870249104102
Erosion 0.05;0.644323396456287;0.0770003385691395;0.00154333673105544;32903.7171185167;33.4711980975378
Erosion 0.06;0.634322934142397;0.0722573282953913;-0.00139433813684914;-29727.0885214198;35.114663058078
Erosion 0.07;0.624320911621776;0.0805254471204434;-0.00366718886710572;-78183.9391724334;31.0123536818351
Erosion 0.08;0.614319098124066;0.0854672278064232;-0.0027164133208102;-57913.5412812896;28.7510950754342
Erosion 0.09;0.604316097674824;0.0871024284773889;-0.000191915510252719;-4091.61107420337;27.7519746918055
Erosion 0.1;0.594314493200026;0.0854106664585292;0.00231182154892104;49287.702899528;27.8332680374807
Erosion 0.11;0.584312328842429;0.0804215587309539;0.00314631739479306;67079.0343028652;29.0624722058529
Erosion 0.12;0.574310298856704;0.0721283029638072;0.000723665175819423;15428.4374592706;31.8493725906671
Erosion 0.13;0.564306738524663;0.0806971487713417;-0.00607561136642238;-129531.160439689;27.9715824966082
Erosion 0.14;0.554304036679579;0.0896675788354568;-0.00773807389996574;-164974.622532654;24.7270660757662
Erosion 0.15;0.544299849278804;0.0952937330911818;-0.00528075980377295;-112585.039452377;22.8472463664737
Dilation 0.01;0.704328857777056;0.0763262727859204;-0.000299985917163931;-6395.65660512114;36.9114765895908
Dilation 0.02;0.714329573904481;0.0798724388081822;-0.00207132327081349;-44160.314202617;35.773520105977
Dilation 0.03;0.724331797982909;0.0798420970569185;-0.00479536244231391;-102236.437523749;36.2882150986862
Dilation 0.04;0.734332424529087;0.0762176715147484;-0.00654500187415534;-139538.498549241;38.5386963382627
Dilation 0.05;0.744334685933035;0.0690048887248923;-0.00539293652610952;-114976.631037527;43.1467798694981
Dilation 0.06;0.754336275477625;0.0652305948813886;-0.000994237535824192;-21197.0012564907;46.256593357719
Dilation 0.07;0.764338066580023;0.0714269478350352;-0.00106082470027022;-22616.63002484;42.8039046744827
Dilation 0.08;0.774340895331874;0.0735430524052863;-0.00398044958262366;-84862.6125690664;42.1163315911654
Dilation 0.09;0.784342268388449;0.0715577090163853;-0.00711388976715361;-151667.10660133;43.8439004920546
Dilation 0.1;0.794344619373645;0.0654668406526791;-0.00783142699792466;-166964.897153589;48.5341654770162
Dilation 0.11;0.804347515311432;0.0553017022204088;-0.00350771923336733;-74784.0695186263;58.1788612658358
Dilation 0.12;0.814349045135191;0.062945089357766;0.00136902502084324;29187.4165291147;51.7498062799855
Dilation 0.13;0.824350739191237;0.068626155580313;-0.0010802680812291;-23031.1601102226;48.0487786162814
Dilation 0.14;0.834353657524335;0.0694303619730313;-0.00684750787378956;-145987.88295015;48.068518372318
Dilation 0.15;0.844354829023103;0.0653386803464131;-0.0117712206995923;-250960.732188458;51.6909631199465
Fuzzy Edge 0.01;0.694327410069441;0.0784744145401338;-0.00197627601684659;-42133.920419272;35.3912756986212
Fuzzy Edge 0.02;0.694327402604337;0.0875178769923189;-0.00264006210980078;-56285.7444446315;31.7341976961016
Fuzzy Edge 0.03;0.694328686602222;0.0963330999657396;-0.00339959950712203;-72478.9725065995;28.8303267246318
Fuzzy Edge 0.04;0.694327477255377;0.104920592854446;-0.00419203730006027;-89373.6322708561;26.47058917094
Fuzzy Edge 0.05;0.694330037786042;0.113263761362723;-0.0050951714690239;-108628.322849836;24.5208186425127
Fuzzy Edge 0.06;0.694331299388615;0.124441155203091;-0.00427470976325294;-91136.1972948366;22.3183816722193
Fuzzy Edge 0.07;0.694328925485549;0.14299709518728;-0.00581676753615977;-124012.647209585;19.4221826555624
Fuzzy Edge 0.08;0.694331814480789;0.159709480679506;-0.00767176457040968;-163560.917164196;17.3898709463373
Fuzzy Edge 0.09;0.694329537624076;0.174599648294202;-0.00985640182399766;-210137.06918092;15.9067797537398
Fuzzy Edge 0.1;0.694328052068384;0.187605629942648;-0.0122224417537919;-260580.700162104;14.8039918051637
Fuzzy Edge 0.11;0.694329716786571;0.198828229989866;-0.0146519277801298;-312376.992795756;13.968433291831
Fuzzy Edge 0.12;0.694330321459993;0.213627373742135;-0.00475858292452041;-101452.303494615;13.0007743726346
Fuzzy Edge 0.13;0.694329127043357;0.232205815749443;-0.00764439966043214;-162977.501219538;11.9605811732564
Fuzzy Edge 0.14;0.694329522693868;0.249616497111573;-0.0133617124414045;-284869.787353715;11.126340297669
Fuzzy Edge 0.15;0.694328373067855;0.264998384912427;-0.019485488900717;-415427.82064594;10.4804921478643
FN Cluster 0.01;0.684364571879609;0.0781484234550518;-0.00402865720959735;-85890.3922421468;35.0289636884732
FN Cluster 0.02;0.67437324685299;0.0839565124236495;-0.00452500325863955;-96472.418615231;32.1296455693663
FN Cluster 0.03;0.664379114947275;0.0885367667978598;-0.00475124559905989;-101295.872771169;30.0159646201734
FN Cluster 0.04;0.65438728975869;0.0922519843557249;-0.00482732726463162;-102917.922937866;28.3739062884702
FN Cluster 0.05;0.644387947210398;0.0955140847407046;-0.00488216802130327;-104087.119982024;26.9860910654063
FN Cluster 0.06;0.634393053864077;0.0983762402442056;-0.00486448954654529;-103710.217442987;25.7945639023928
FN Cluster 0.07;0.624396428613633;0.101032079657077;-0.00484157747227246;-103221.735315074;24.7207196262002
FN Cluster 0.08;0.614397713134075;0.103465095926629;-0.00481572568294985;-102670.578885138;23.7528495047167
FN Cluster 0.09;0.604398228748807;0.105791882506305;-0.0047779416187583;-101865.028071288;22.8523480036491
FN Cluster 0.1;0.594405746631071;0.107614546785039;-0.00469730037601602;-100145.768375146;22.0938809627067
FN Cluster 0.11;0.584401551765192;0.109760870192645;-0.00467725983693375;-99718.5069644661;21.2972637968154
FN Cluster 0.12;0.574397998898255;0.111567247103217;-0.00460474208895353;-98172.4390082001;20.5937858578458
