Row;Number of Positives;Number of Negatives;Number of True Positives;Number of False Positives;Number of False Negatives;Number of True Negatives;Pair counting cardinality P_1,1;Pair counting cardinality P_1,0;Pair counting cardinality P_0,1;Pair counting cardinality P_0,0;Precision;Negative Predictive Value;Recall;Specificity;Accuracy;Balanced Accuracy;Matthews Correlation Coefficient;Intersection over Union;Balanced Intersection over Union*;Segmentation Covering;Dice coefficient;F2-score;Cohen kappa;Global Consistency Error;Bidirectional Consistency Error;Mutual Information;Variation of Information;Pearson Correlation Coefficient;Normalized Variation of Information;Rand Index;Adjusted Rand Index;Average Hausdorff Distance;Surface Consistency Measure (a=0.5,k=3);Surface Consistency Measure (a=1,k=3);Surface Consistency Measure (a=2,k=3);Surface Consistency Measure (a=0.5,k=5);Surface Consistency Measure (a=1,k=5);Surface Consistency Measure (a=2,k=5);Surface Consistency Measure (a=0.5,k=7);Surface Consistency Measure (a=1,k=7);Surface Consistency Measure (a=2,k=7);Error Rate;Maximum Error Distance;Minimum Error Distance;Average Error Distance;Median Error Distance
Erosion 0.01;67104064;67113664;67104064;0;1342177;65771487;4.41532260619443e+15;90065531307328;88276977107199;4.41353407302317e+15;1;0.98000143458119;0.980390785813935;1;0.990000002086163;0.990195392906968;0.980196090865413;0.980390785813935;0.980199989784793;0.980199989784793;0.990098310734159;0.984250863011056;0.980000032680184;0.0196078116257696;0.0294078239271392;0.644126907002232;0.0980405419995185;0.929278697864628;0.132100299105529;0.980200003941357;0.960400007882751;0.009999998;0.2689422;0.1192018;0.01798862;0.1192018;0.01798862;0.0003546476;0.04742616;0.00247097;4.768372e-07;0.00999999791383743;1;1;1;1
Erosion 0.02;65761886;68455842;65761886;0;2684355;65771487;4.32885989000823e+15;176528247493530;176554019985885;4.32525703014448e+15;1;0.960787057443542;0.960781557017865;1;0.979999996721745;0.980390778508932;0.960784307226767;0.960781557017865;0.960784252423168;0.960784252423168;0.979998565958677;0.968377206267707;0.960015986849395;0.0384314885971525;0.0576471228871972;0.608769553646016;0.168553804457829;0.878396469550585;0.216838723165335;0.960799993413687;0.921599974284149;0.02;0.2689414;0.1192022;0.01798654;0.1192022;0.01798654;0.0003563762;0.04742646;0.002476215;0;0.0200000032782555;1;1;1;1
Erosion 0.03;64419709;69798019;64419709;0;4026532;65771487;4.24600011778257e+15;259388019719188;264830997093084;4.23698005303728e+15;1;0.942311657870978;0.9411723428318;1;0.969999998807907;0.9705861714159;0.941741828059127;0.9411723428318;0.941730647948455;0.941730647948455;0.96969477883536;0.952377571081048;0.940047873246112;0.0565387017189047;0.0847738731258236;0.578448630477426;0.228594018761878;0.835008832055072;0.283248994309463;0.941799997325242;0.883599920423306;0.03;0.2689431;0.1192011;0.01798594;0.1192011;0.01798594;0.0003353357;0.04742348;0.002471209;2.980232e-07;0.0300000011920929;1;1;1;1
Erosion 0.04;63077532;71140196;63077532;0;5368709;65771487;4.16674322375557e+15;338644913746188;353107974200283;4.14870307593008e+15;1;0.924533396000202;0.921563128645735;1;0.96000000089407;0.960781564322868;0.923047067573162;0.921563128645735;0.923018665880659;0.923018665880659;0.959180695036782;0.936250439704633;0.920095657965411;0.0739626700268216;0.110825194348709;0.551333380219845;0.281822217158027;0.796443825688836;0.338258805492017;0.923200001072884;0.846399782021422;0.04;0.2689413;0.1192023;0.01798612;0.1192023;0.01798612;0.0003329515;0.04742706;0.002472937;3.099442e-05;0.0399999991059303;1;1;1;1
Erosion 0.05;61735355;72482373;61735355;0;6710886;65771487;4.09108920792723e+15;414298929574530;441384951307482;4.06042609882289e+15;1;0.907413544531717;0.901953914459671;1;0.950000002980232;0.950976957229835;0.904679610980654;0.901953914459671;0.90462932845795;0.90462932845795;0.948449810063782;0.91999428207506;0.900159322027825;0.0907413490445655;0.135839042079517;0.526556166716716;0.329972866295986;0.761424653008368;0.38524422824917;0.905000004656613;0.809999525530729;0.05;0.2689416;0.1192033;0.01798713;0.1192033;0.01798713;0.000357151;0.04742563;0.002471268;3.576279e-07;0.0499999970197678;1;1;1;1
Erosion 0.06;60393177;73824551;60393177;0;8053064;65771487;4.01903801795743e+15;486350119544328;529661994186168;3.9721490559442e+15;1;0.890916180445175;0.8823446856636;1;0.939999997615814;0.9411723428318;0.886620074884114;0.8823446856636;0.886545024664994;0.886545024664994;0.937495340129525;0.903607531289726;0.880238831648077;0.10690994590164;0.15985062914513;0.50360730390817;0.37406420387441;0.729194742811646;0.426200691896079;0.887199994963408;0.7743990927017;0.06161901;0.2718016;0.1229057;0.02010179;0.1208292;0.01868278;0.0003783703;0.04814857;0.002571702;1.549721e-06;0.0600000023841858;2;1;1.02698230743408;1
Erosion 0.07;59051000;75166728;59051000;0;9395241;65771487;3.95058976121076e+15;554798376291000;617938971293367;3.883872078837e+15;1;0.875007982255128;0.862735471477535;1;0.929999999701977;0.931367735738768;0.86885005847815;0.862735471477535;0.868749440683345;0.868749440683345;0.926310240705522;0.887088632044583;0.860334197590856;0.122501118037263;0.182892601297806;0.48215111150849;0.414766127439484;0.699251389923756;0.462435227497665;0.869799998517334;0.739598506084519;0.07797047;0.2810111;0.1348261;0.02690709;0.1260617;0.02092218;0.0005178452;0.05047178;0.002890468;2.920628e-06;0.0700000002980232;2;1;1.11386251449585;1
Erosion 0.08;57708823;76508905;57708823;0;10737418;65771487;3.88574438266275e+15;619643754839014;706215948400566;3.7955951017298e+15;1;0.859657931321851;0.843126257291471;1;0.920000001788139;0.921563128645735;0.851351968451545;0.843126257291471;0.851227368819579;0.851227368819579;0.914887142382172;0.870435966873792;0.84044538611929;0.13754526593712;0.20499536501281;0.461949819682964;0.452552369734396;0.671235359914225;0.494861986085263;0.852800001907349;0.705597709882777;0.09432881;0.2879262;0.1437804;0.03202331;0.1299933;0.02260411;0.0006227493;0.05221933;0.003128767;3.904104e-05;0.0799999982118607;2;1;1.17910766601562;1
Erosion 0.09;56366645;77851083;56366645;0;12079596;65771487;3.82450183802634e+15;680886299475420;794492991279252;3.70731805885112e+15;1;0.844837148893613;0.8235170284954;1;0.909999996423721;0.9117585142477;0.834108972748401;0.8235170284954;0.833964650001923;0.833964650001923;0.903218358399308;0.853647891808397;0.820572363573682;0.152070692843596;0.226187228353309;0.442826352688553;0.48777492508731;0.644876769060909;0.524150285128656;0.836199992914498;0.67239665220803;0.1106769;0.293293;0.1507263;0.0359869;0.1330438;0.02390873;0.0007040501;0.05357265;0.003315866;1.013279e-05;0.0900000035762787;2;1;1.22974026203156;1
Erosion 0.1;55024468;79193260;55024468;0;13421773;65771487;3.76686221856e+15;738525918941764;882769968386451;3.61904108174392e+15;1;0.830518746166025;0.803907814309335;1;0.899999998509884;0.901953907154668;0.817104956522269;0.803907814309335;0.816948122655712;0.816948122655712;0.891295894316117;0.836722773816294;0.800715140738045;0.166103751708344;0.246494534337193;0.424643896897331;0.520704910580269;0.619965290314202;0.5508071798066;0.81999999627471;0.639995356608322;0.1270299;0.2975916;0.1562893;0.03916407;0.1354865;0.02495396;0.000767827;0.05465716;0.003463328;1.192093e-06;0.100000001490116;2;1;1.27029502391815;1
Erosion 0.11;53682291;80535437;53682291;0;14763950;65771487;3.71282547729231e+15;792562660209450;971046945493650;3.53076410463672e+15;1;0.816677594982194;0.78429860012327;1;0.890000000596046;0.892149300061635;0.800324368301112;0.78429860012327;0.800165465634783;0.800165465634783;0.879111377511686;0.819658915209705;0.780873684000771;0.179669069922527;0.265941915468608;0.407293624746648;0.551557091686736;0.59633220722988;0.575227282238836;0.804199999471009;0.608393773647938;0.1433824;0.3011079;0.1608416;0.04176372;0.1374846;0.02580988;0.0008208156;0.05554491;0.003586352;1.311302e-05;0.109999999403954;2;1;1.30347263813019;1
Erosion 0.12;52340114;81877614;52340114;0;16106127;65771487;3.66239161422328e+15;842996523278478;1.05932392260085e+15;3.44248712752952e+15;1;0.803290225335584;0.764689385937206;1;0.880000002682209;0.882344692968603;0.783752198811096;0.764689385937206;0.783605177796531;0.783605177796531;0.866656072202858;0.80245460301584;0.761047974592527;0.192789649771356;0.284552374032764;0.390687035100159;0.58050519510059;0.573839168675716;0.597724299112852;0.788800002503395;0.577591880450003;0.1598685;0.3041697;0.1648625;0.04422373;0.1392368;0.02658105;0.000874579;0.05632865;0.003695488;1.525879e-05;0.119999997317791;3;1;1.33223378658295;1.41421353816986
Erosion 0.13;50997936;83219792;50997936;0;17448305;65771487;3.61556059580328e+15;889827541698480;1.14760096547954e+15;3.35421008465083e+15;1;0.790334671829028;0.745080157141135;1;0.869999997317791;0.872540078570567;0.767373886368607;0.745080157141135;0.767256487860175;0.767256487860175;0.85392084036043;0.785108082968654;0.741237979020029;0.205487018915233;0.302347441342041;0.374750801923205;0.607692188061446;0.552370603502542;0.618552113716991;0.773799994345009;0.547589633606289;0.1858485;0.315405;0.1831939;0.06578952;0.1464117;0.03117424;0.001565516;0.05972999;0.004388809;3.135204e-05;0.130000002682209;3;1;1.42959976196289;1.41421353816986
Erosion 0.14;49655759;84561969;49655759;0;18790482;65771487;3.57233249181592e+15;933055645685838;1.23587794258673e+15;3.26593310754363e+15;1;0.777790391801307;0.72547094295507;1;0.859999999403954;0.862735471477535;0.751175298423403;0.72547094295507;0.751109344088171;0.751109344088171;0.84089615755872;0.767617610723681;0.721443708092611;0.217781310631564;0.319347243077689;0.359423283760557;0.633237253436092;0.531828550881239;0.637919237954602;0.759199997347593;0.518387057994987;0.2118298;0.3250359;0.1989103;0.08428067;0.152564;0.03511268;0.002157211;0.06265002;0.004985034;4.208088e-05;0.140000000596046;3;1;1.51306450366974;1.41421353816986
Erosion 0.15;48313582;85904146;48313582;0;20132659;65771487;3.53270726602722e+15;972680871474538;1.32415491969393e+15;3.17765613043643e+15;1;0.765638098538341;0.705861728769006;1;0.850000001490116;0.852930864384503;0.735142592865961;0.705861728769006;0.735154287850255;0.735154287850255;0.827572032204948;0.749981373712876;0.701665128364662;0.229691427279723;0.335570685543258;0.344651931892628;0.657240929266518;0.512128818368047;0.655999213834221;0.745000000186265;0.489984112660271;0.2378058;0.3333796;0.2125199;0.1002914;0.1578914;0.03852284;0.002670407;0.06517702;0.005498648;4.249811e-05;0.149999998509884;3;1;1.58536648750305;1.41421353816986
Dilation 0.01;69788418;64429310;68446241;1342177;0;64429310;4.41891259949389e+15;86475538007870;91866970406657;4.40994407972371e+15;0.980767911947796;1;1;0.979593330465525;0.990000002086163;0.989796665232763;0.980180445264371;0.980767911947796;0.980192325012726;0.980192325012726;0.99029058985851;0.996093477928392;0.9799840772374;0.0196153541468733;0.0294112854079376;0.643732219781341;0.0980325658508829;0.929243908673144;0.132161256168729;0.980200003941357;0.960399982810172;0.009999998;0.2689419;0.119202;0.01798797;0.119202;0.01798797;0.0003546476;0.04742491;0.00247103;4.768372e-07;0.00999999791383743;1;1;1;1
Dilation 0.02;71130596;63087132;68446241;2684355;0;63087132;4.3360398792819e+15;169348258219860;183734009259555;4.31807704087081e+15;0.962261598370411;1;1;0.959186645726894;0.979999996721745;0.979593322863447;0.960722891812574;0.962261598370411;0.960754761599797;0.960754761599797;0.980767904921072;0.992217356039258;0.959952165000269;0.0384904702438951;0.0576742063028919;0.60798784516585;0.168521880657208;0.878280135566439;0.21702481637121;0.960799993413687;0.921599875006696;0.02;0.2689416;0.1192017;0.01798648;0.1192017;0.01798648;0.0003554821;0.04742688;0.00247556;1.192093e-07;0.0200000032782555;1;1;1;1
Dilation 0.03;72472773;61744955;68446241;4026532;0;61744955;4.2567701003557e+15;248618037146060;275600979666212;4.22621007046416e+15;0.944440762601977;1;1;0.938779976192419;0.969999998807907;0.96938998809621;0.941606115438209;0.944440762601977;0.941666774803987;0.941666774803987;0.971426623805358;0.988371286559873;0.939904274007092;0.0566664480078409;0.0848298484127264;0.577287275094306;0.228522118140608;0.834777251928;0.283593266669687;0.941799997325242;0.88359969932807;0.03;0.2689436;0.1192014;0.01798546;0.1192014;0.01798546;0.000335753;0.04742324;0.002471089;5.960464e-08;0.0300000011920929;1;1;1;1
Dilation 0.04;73814950;60402778;68446241;5368709;0;60402778;4.18110319962816e+15;324284937873602;367467950072869;4.1343431000575e+15;0.927267999233218;1;1;0.918373306657944;0.96000000089407;0.959186653328972;0.92280993634329;0.927267999233218;0.922909281753783;0.922909281753783;0.96226160513446;0.984554918503231;0.919840370176969;0.074181438280573;0.110916369725801;0.549799476210903;0.281694213850921;0.796070078932135;0.338780939913057;0.923200001072884;0.846399393014553;0.04;0.2689412;0.1192032;0.01798636;0.1192032;0.01798636;0.0003323555;0.04742604;0.002473354;3.099442e-05;0.0399999991059303;1;1;1;1
Dilation 0.05;75157127;59060601;68446241;6710886;0;59060601;4.10903917709928e+15;396348960402486;459334920479526;4.04247612965084e+15;0.910708587889476;1;1;0.89796663712347;0.950000002980232;0.948983318561735;0.904315170759938;0.910708587889476;0.904464576299882;0.904464576299882;0.953267906641298;0.980767909137107;0.899760434317352;0.0910708533607014;0.135969182540726;0.524656551760776;0.329772497985826;0.760886371504102;0.385956561382863;0.905000004656613;0.809998924037312;0.05;0.2689418;0.1192025;0.01798594;0.1192025;0.01798594;0.0003564358;0.04742527;0.002471447;2.980232e-07;0.0499999970197678;1;1;1;1
Dilation 0.06;76499305;57718423;68446241;8053064;0;57718423;4.04057798310369e+15;464810154398072;551201959332424;3.95060909079794e+15;0.894730233170092;1;1;0.877559952384838;0.939999997615814;0.938779976192419;0.886103504573829;0.894730233170092;0.886316181492406;0.886316181492406;0.944440762601977;0.977009918193043;0.879664432226346;0.107367632246817;0.160021231482174;0.501348568914767;0.373775030836276;0.728472896072854;0.4271111314363;0.887199994963408;0.774398235665392;0.06216145;0.2727595;0.1241472;0.02081168;0.1213732;0.01891577;0.0003927946;0.04839051;0.002604604;8.940697e-07;0.0600000023841858;2;1;1.03602290153503;1
Dilation 0.07;77841482;56376246;68446241;9395241;0;56376246;3.97571971965648e+15;529668417845286;643068929739081;3.85874212039129e+15;0.8793029017613;1;1;0.857153282850363;0.929999999701977;0.928576641425182;0.868157456262716;0.8793029017613;0.868448796316633;0.868448796316633;0.935775601620377;0.973280618944117;0.859552374595326;0.123102406770687;0.183103136825664;0.479539614513729;0.414371490394484;0.69832950901893;0.463548878763546;0.869799998517334;0.739597351967996;0.0784967;0.2818069;0.1358558;0.02750003;0.1265149;0.02111512;0.0005295873;0.05067331;0.002918899;3.695488e-06;0.0700000002980232;2;1;1.12138044834137;1
Dilation 0.08;79183659;55034069;68446241;10737418;0;55034069;3.91446433440792e+15;590923803093842;734935900145738;3.76687514998463e+15;0.864398562334686;1;1;0.836746613315889;0.920000001788139;0.918373306657944;0.850460210467645;0.864398562334686;0.85084811834703;0.85084811834703;0.927267999233218;0.96957968130782;0.839424227172809;0.13830376688222;0.205243494451271;0.458991697228649;0.452035345461812;0.670098993859443;0.496182137609059;0.852800001907349;0.705596218667037;0.09483454;0.2885947;0.1446446;0.03252196;0.130374;0.0227679;0.0006323457;0.05238694;0.003151238;3.921986e-05;0.0799999982118607;2;1;1.18543004989624;1
